profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,1.9757498780058491,0.005400000140070915,0.014225399121642113,323.4657287597656,5.128217139827029e-07,0.23166322708129883,0.0025638469960540533,0.008207779377698898,8.294103281514253e-06
radial,0.75,1.9971355019758146,0.005400000140070915,0.014379375614225864,320.68182373046875,4.676982712226163e-07,0.23197077214717865,0.002371320966631174,0.008060534484684467,7.593026111862855e-06
radial,0.75,2.0188002640174494,0.005400000140070915,0.014535361900925636,318.1676025390625,4.2817276835194207e-07,0.2322511374950409,0.002195840235799551,0.007926310412585735,6.959753591218032e-06
radial,0.75,2.0407475272400513,0.005400000140070915,0.014693382196128368,315.83270263671875,3.922972666714486e-07,0.23251405358314514,0.002031276933848858,0.007800434250384569,6.372925327013945e-06
radial,0.75,2.062980913453632,0.005400000140070915,0.01485346257686615,313.59716796875,3.5861378933077503e-07,0.23276858031749725,0.0018719498766586185,0.007678583730012178,5.813467396365013e-06
radial,0.75,2.085504173818562,0.005400000140070915,0.015015630051493645,311.40966796875,3.2620908996250364e-07,0.2330208271741867,0.001714035402983427,0.007557853125035763,5.268984750728123e-06
radial,0.75,2.1083214475462833,0.005400000140070915,0.01517991442233324,309.2600402832031,2.948146970993548e-07,0.23327216506004333,0.0015566073125228286,0.007437553256750107,4.736457412946038e-06
radial,0.75,2.1314359683957367,0.005400000140070915,0.015346338972449303,307.17193603515625,2.646638677106239e-07,0.23352012038230896,0.00140123232267797,0.007318892981857061,4.220382834319025e-06
radial,0.75,2.1548522636294365,0.005400000140070915,0.015514936298131943,305.178466796875,2.3611617905316962e-07,0.23376086354255676,0.0012502941535785794,0.007203702814877033,3.727397142938571e-06
radial,0.75,2.1785738257070384,0.005400000140070915,0.015685731545090675,303.30218505859375,2.0935455324888608e-07,0.2339916229248047,0.0011055102804675698,0.007093300577253103,3.261890924477484e-06
radial,0.75,2.2026045351392693,0.005400000140070915,0.01585875265300274,301.5516357421875,1.8433851778354438e-07,0.23421120643615723,0.0009675947949290276,0.006988236214965582,2.8252056836208794e-06
radial,0.75,2.226948789838288,0.005400000140070915,0.01603403128683567,299.92706298828125,1.6089310861389094e-07,0.23441949486732483,0.0008366302936337888,0.006888577714562416,2.4168862182705197e-06
radial,0.75,2.2516104703148208,0.005400000140070915,0.01621159538626671,298.4254455566406,1.387840882216551e-07,0.2346167266368866,0.0007124443654902279,0.006794199347496033,2.035821353274514e-06
radial,0.75,2.276593715780311,0.005400000140070915,0.01639147475361824,297.0435485839844,1.1774306329925821e-07,0.23480328917503357,0.0005948073812760413,0.006704926490783691,1.6808478449092945e-06
radial,0.75,2.3019029241469173,0.005400000140070915,0.016573701053857803,295.779052734375,9.753650687116533e-08,0.23497940599918365,0.00048353910096921027,0.006620618514716625,1.3509626342056436e-06
radial,0.75,2.3275422346260815,0.005400000140070915,0.016758304089307785,294.6321716308594,7.802378831911483e-08,0.23514512181282043,0.00037863850593566895,0.0065412623807787895,1.045616500050528e-06
radial,0.75,2.3535157864292464,0.005400000140070915,0.016945313662290573,293.60833740234375,5.920626122701833e-08,0.2352997064590454,0.00028058476164005697,0.006467202212661505,7.655666536265926e-07
radial,0.75,2.37982797746857,0.005400000140070915,0.017134761437773705,292.723388671875,4.141880438623957e-08,0.23544050753116608,0.0001910954451886937,0.006399714387953281,5.148547188582597e-07
radial,0.75,2.406483464356926,0.005400000140070915,0.017326680943369865,292.00897216796875,2.562573619968589e-08,0.23556093871593475,0.00011440504749771208,0.006341962143778801,3.0404606832235004e-07
radial,0.75,2.433486386305756,0.005400000140070915,0.017521101981401443,291.5023498535156,1.337862176598037e-08,0.23565086722373962,5.7038985687540844e-05,0.0062988195568323135,1.4923827507118403e-07
radial,0.75,2.4608416586286492,0.005400000140070915,0.017718059942126274,291.2078857421875,5.755036447396833e-09,0.23570454120635986,2.272981328133028e-05,0.006273048929870129,5.830018068309073e-08
radial,0.75,2.488553420537048,0.005400000140070915,0.017917584627866745,291.0731201171875,2.143310862123826e-09,0.2357286512851715,7.293207545444602e-06,0.006261467467993498,1.8133349044546776e-08
radial,0.75,2.5166268460452557,0.005400000140070915,0.01811971329152584,291.0234069824219,8.050550781568688e-10,0.23573684692382812,2.029154984484194e-06,0.006257521919906139,4.744195258865602e-09
radial,0.75,2.54506633306543,0.005400000140070915,0.0183244775980711,291.00732421875,3.5877642523551856e-10,0.23573917150497437,5.31507566847722e-07,0.006256399676203728,1.07589237519079e-09
radial,0.75,2.573876538210445,0.005400000140070915,0.018531911075115204,291.0023193359375,1.9449156174466964e-10,0.23573976755142212,1.3600477188902005e-07,0.006256102584302425,1.9813968521464886e-10
radial,0.75,2.603062635494603,0.005400000140070915,0.018742050975561142,291.00079345703125,1.1916553854796064e-10,0.23573993146419525,3.42417969534381e-08,0.00625602575019002,3.57717501453525e-11
radial,0.75,2.6326292815307775,0.005400000140070915,0.0189549308270216,291.00030517578125,7.809634189337444e-11,0.23573996126651764,8.454331457130593e-09,0.00625600665807724,1.5277650672329557e-11
radial,0.75,2.662581391632557,0.005400000140070915,0.01917058601975441,291.0001220703125,5.295302737962082e-11,0.23573997616767883,2.0158206215370456e-09,0.006256001070141792,8.381258360945498e-12
radial,0.75,2.6929241398142443,0.005400000140070915,0.01938905380666256,291.0000915527344,3.6516172030598426e-11,0.23573997616767883,4.481340021289526e-10,0.00625599967315793,5.385331069973631e-12
radial,0.75,2.7236627000901437,0.005400000140070915,0.019610371440649033,291.00006103515625,2.5362616520863135e-11,0.23573997616767883,9.994038929761473e-11,0.006255999207496643,3.717499832273097e-12
radial,0.75,2.7548022464745574,0.005400000140070915,0.019834576174616814,291.00006103515625,1.760813890527846e-11,0.23573997616767883,4.101041034543229e-11,0.006255998741835356,2.637313327794044e-12
radial,0.75,2.786347694281075,0.005400000140070915,0.020061703398823738,291.0000305175781,1.212507091258308e-11,0.23573999106884003,3.100838683045559e-11,0.006255998741835356,1.8832732682355635e-12
radial,0.75,2.818304476224714,0.005400000140070915,0.02029179222881794,291.0000305175781,8.202954808467222e-12,0.23573999106884003,2.5306725465190638e-11,0.006255998741835356,1.3486228193221317e-12
radial,0.75,2.8506780250204935,0.005400000140070915,0.020524881780147552,291.0000305175781,5.381521617220386e-12,0.23573999106884003,2.099866808213946e-11,0.006255998741835356,9.6849026194612e-13
