profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,T_std
radial,0.75,2.7639418840408325,0.005400000140070915,0.019900381565093994,302.172306060791,3.3666496845067e-07,0.2312123253941536,0.0007185338468821824,0.006733798247296363,2.374723377629154e-06,24.91519582187422
radial,0.75,2.8099681043790445,0.005400000140070915,0.02023177035152912,302.0645637512207,3.2814387757687513e-07,0.23119527474045753,0.0007115006953222573,0.006727805943228304,2.3194914593389657e-06,24.675198421662948
radial,0.75,2.8566837621231875,0.005400000140070915,0.02056812308728695,301.9636917114258,3.198258530522745e-07,0.23117728903889656,0.0007048815774108368,0.006722122838255018,2.2664051200590072e-06,24.447206733543606
radial,0.75,2.9040992053018675,0.005400000140070915,0.020909514278173447,301.867862701416,3.1160534849823233e-07,0.23115894570946693,0.0006985520759633723,0.006716662144754082,2.2147334051359095e-06,24.227250708059675
radial,0.75,2.952224781943692,0.005400000140070915,0.021256018429994583,301.77629470825195,3.0345259282478876e-07,0.23114009387791157,0.0006924744542710175,0.006711389345582575,2.164172200695235e-06,24.013969405377715
radial,0.75,3.0010708400772677,0.005400000140070915,0.021607710048556328,301.6863708496094,2.9525024197704904e-07,0.23112144321203232,0.0006865161003737975,0.006706212996505201,2.1139854958957547e-06,23.801118692603303
radial,0.75,3.0506487625340624,0.005400000140070915,0.021964671090245247,301.5932273864746,2.8669111786202327e-07,0.23110520467162132,0.0006803390315392288,0.006700911209918559,2.0623645114953818e-06,23.57653060404969
radial,0.75,3.100969156043397,0.005400000140070915,0.02232697792351246,301.49254608154297,2.774796734605882e-07,0.23109260573983192,0.0006736467235223948,0.006695272226352245,2.0074428503704514e-06,23.32938108130325
radial,0.75,3.1520434034367404,0.005400000140070915,0.02269471250474453,301.38109588623047,2.6743811415811173e-07,0.2310821134597063,0.0006663533929899761,0.006689190166071057,1.9480317110318753e-06,23.051642165234057
radial,0.75,3.203882370144129,0.005400000140070915,0.023067953065037727,301.2500877380371,2.5611211524955034e-07,0.23107597790658474,0.000657937907064445,0.006682292849291116,1.8811065626673258e-06,22.720815272921797
radial,0.75,3.256497956398461,0.005400000140070915,0.023446785286068916,301.1375389099121,2.4516794661871e-07,0.23105677217245102,0.0006505168568109441,0.0066758846514858305,1.8163695458932297e-06,22.43608098340699
radial,0.75,3.309901286330488,0.005400000140070915,0.023831289261579514,301.1139335632324,2.3810726204465867e-07,0.23099438101053238,0.0006482913516943532,0.0066726660006679595,1.7747928402349976e-06,22.380897238783128
radial,0.75,3.364104777574539,0.005400000140070915,0.024221554398536682,301.1300354003906,2.336827042049265e-07,0.23092213831841946,0.0006485201465560697,0.0066711968393065035,1.7479661989870191e-06,22.42739857290451
radial,0.75,3.419120071662797,0.005400000140070915,0.024617664515972137,301.13139724731445,2.2976586454315078e-07,0.23086740635335445,0.0006481208852267032,0.0066696221474558115,1.7230277682682566e-06,22.434134260326758
radial,0.75,3.474959068828159,0.005400000140070915,0.025019705295562744,301.1300163269043,2.263764753440824e-07,0.2308212500065565,0.0006476561030572994,0.006668191228527576,1.7007946793226085e-06,22.432472575573446
radial,0.75,3.531634704106384,0.005400000140070915,0.025427769869565964,301.1143798828125,2.2282646914241405e-07,0.2307898160070181,0.0006463608379460282,0.006666428467724472,1.676995834995831e-06,22.39259385725185
radial,0.75,3.5891588777303696,0.005400000140070915,0.02584194391965866,301.0928840637207,2.1934753305329628e-07,0.23076513409614563,0.00064480298273956,0.006664607964921743,1.6534781668532965e-06,22.336453462846535
radial,0.75,3.6475450421373052,0.005400000140070915,0.026262324303388596,301.07293701171875,2.1609409374357917e-07,0.23074229806661606,0.0006433580265088312,0.006662920932285488,1.6314784952163286e-06,22.283405750536236
radial,0.75,3.706805356260803,0.005400000140070915,0.02668899856507778,301.04906463623047,2.1281623318062204e-07,0.23072444647550583,0.0006417117003346042,0.006661186635028571,1.6093187596441668e-06,22.21933263271888
radial,0.75,3.7669532725380526,0.005400000140070915,0.02712206356227398,301.0243263244629,2.0958326085494103e-07,0.2307087704539299,0.0006400491325562597,0.0066594897652976215,1.5876552280595363e-06,22.15223094807201
radial,0.75,3.828002243406243,0.005400000140070915,0.027561616152524948,301.00256729125977,2.064953841874448e-07,0.23069258779287338,0.0006385653669338144,0.006657926016487181,1.56725709494116e-06,22.092155310620075
radial,0.75,3.889965203901132,0.005400000140070915,0.02800774946808815,300.98106384277344,2.034635497450559e-07,0.23067752085626125,0.0006371072273622214,0.006656408484559506,1.5473002834694776e-06,22.03208054548939
radial,0.75,3.9528566412627697,0.005400000140070915,0.028460567817091942,300.96068572998047,2.005018355132302e-07,0.2306627668440342,0.0006357207392971423,0.006654956261627376,1.527931552721025e-06,21.974376718879224
radial,0.75,4.01668974922763,0.005400000140070915,0.028920166194438934,300.94324493408203,1.9765515061797887e-07,0.23064706660807133,0.0006344979311311327,0.006653614749666303,1.509534613579927e-06,21.923749987938503
radial,0.75,4.081479015035762,0.005400000140070915,0.029386648908257484,300.926025390625,1.9486444242090592e-07,0.23063200153410435,0.0006333027072642934,0.006652308977209032,1.4914311748189388e-06,21.873197301293843
radial,0.75,4.1472386672265005,0.005400000140070915,0.0298601184040308,300.90924072265625,1.9213105980285975e-07,0.230617331340909,0.0006321443722455522,0.006651041214354336,1.473630018710575e-06,21.82331468251901
radial,0.75,4.213983193039894,0.005400000140070915,0.030340678989887238,300.89464569091797,1.8948963416084211e-07,0.23060188628733158,0.0006311082457885903,0.006649854185525328,1.4564976858296892e-06,21.778679174336002
radial,0.75,4.281727338416709,0.005400000140070915,0.030828436836600304,300.8803482055664,1.8691601017779668e-07,0.23058681562542915,0.0006301014704255574,0.0066486981813795865,1.4396292272128708e-06,21.734393028130523
radial,0.75,4.3504861079984245,0.005400000140070915,0.031323499977588654,300.8659896850586,1.844091694576577e-07,0.23057230189442635,0.0006291066204435022,0.006647563481237739,1.4229527288295146e-06,21.689584830151052
