profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o
radial,0.75,0.0,0.005400000140070915,0.0,294.1288146972656,0.15633994340896606,0.19647261500358582,2.1101877791807055e-05,1.8103819456882775e-05
radial,0.75,0.062499998926392034,0.005400000140070915,0.00044999999227002263,294.18115234375,0.15633057057857513,0.19646407663822174,2.7680340281222016e-05,2.3747648810967803e-05
radial,0.75,0.12499999785278407,0.005400000140070915,0.0008999999845400453,294.38824462890625,0.1562957465648651,0.19643233716487885,5.213734766584821e-05,4.472996079130098e-05
radial,0.75,0.18750000486357346,0.005400000140070915,0.0013500000350177288,294.9440002441406,0.15621088445186615,0.19635501503944397,0.0001117188367061317,9.584655344951898e-05
radial,0.75,0.24999999570556813,0.005400000140070915,0.0017999999690800905,296.35589599609375,0.15601688623428345,0.19617825746536255,0.000247926072916016,0.00021270278375595808
radial,0.75,0.31249998654756284,0.005400000140070915,0.0022499999031424522,300.054931640625,0.15555858612060547,0.19576068222522736,0.000569678726606071,0.0004887454560957849
radial,0.75,0.3750000097271469,0.005400000140070915,0.0027000000700354576,311.68109130859375,0.1542544811964035,0.1945728212594986,0.0014850517036393285,0.0012740849051624537
radial,0.75,0.437500032906731,0.005400000140070915,0.003150000236928463,360.5472412109375,0.14921937882900238,0.18998947739601135,0.005017508752644062,0.004304840229451656
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,525.0615844726562,0.1331438422203064,0.17539316415786743,0.01627326011657715,0.013963255099952221
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,692.9747314453125,0.11688919365406036,0.16071248054504395,0.02760719694197178,0.023691464215517044
radial,0.75,0.5752314528864291,0.005400000140070915,0.0041416664607822895,930.8402709960938,0.0935446172952652,0.13989800214767456,0.04372206702828407,0.03753262758255005
radial,0.75,0.6157407511232628,0.005400000140070915,0.004433333408087492,1174.287353515625,0.06912251561880112,0.11874274164438248,0.06020652875304222,0.05171293392777443
radial,0.75,0.6562499846849177,0.005400000140070915,0.004724999889731407,1396.029296875,0.04621070995926857,0.10001467168331146,0.07499615848064423,0.0644753947854042
radial,0.75,0.6967592829217514,0.005400000140070915,0.00501666683703661,1561.7276611328125,0.028092268854379654,0.08681189268827438,0.08572053909301758,0.07379037141799927
radial,0.75,0.7372685164834063,0.005400000140070915,0.005308333318680525,1656.7149658203125,0.016396038234233856,0.08013927191495895,0.09152685105800629,0.0789094865322113
radial,0.75,0.7777777500450611,0.005400000140070915,0.00559999980032444,1695.174072265625,0.010043865069746971,0.0784119963645935,0.09353452920913696,0.08077167719602585
radial,0.75,0.8182870482818948,0.005400000140070915,0.0058916667476296425,1700.9002685546875,0.006852662190794945,0.07940622419118881,0.09341620653867722,0.08080407232046127
radial,0.75,0.8587962818435497,0.005400000140070915,0.006183333229273558,1690.358154296875,0.0050672986544668674,0.08177979290485382,0.09225138276815414,0.07994212955236435
radial,0.75,0.8993055800803834,0.005400000140070915,0.00647500017657876,1668.7301025390625,0.0037915955763310194,0.08527620136737823,0.09033142775297165,0.07845516502857208
radial,0.75,0.9398148136420382,0.005400000140070915,0.006766666658222675,1636.074462890625,0.002765354933217168,0.08998294919729233,0.08764268457889557,0.07634250819683075
radial,0.75,0.9803240472036931,0.005400000140070915,0.0070583331398665905,1591.9207763671875,0.001956280553713441,0.0959351658821106,0.08416882902383804,0.07359238713979721
radial,0.75,1.0208333454405267,0.005400000140070915,0.007350000087171793,1535.1357421875,0.0013426311779767275,0.10324560105800629,0.07984501868486404,0.07015375047922134
