profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,0.0,0.005400000140070915,0.0,294.0140686035156,0.15636783838272095,0.19649727642536163,7.871969955886016e-07,5.970271672595118e-07,2.9307730073924176e-06
radial,0.75,0.01724137998988024,0.005400000140070915,0.00012413793592713773,294.01544189453125,0.15636762976646423,0.19649702310562134,8.63152081365115e-07,6.544144071085611e-07,3.2129939881997416e-06
radial,0.75,0.03448275997976048,0.005400000140070915,0.00024827587185427547,294.0165100097656,0.15636751055717468,0.1964968889951706,9.084185990104743e-07,7.292019290616736e-07,3.3018634439940797e-06
radial,0.75,0.05172413592744205,0.005400000140070915,0.00037241377867758274,294.01971435546875,0.15636709332466125,0.1964963674545288,1.066210757016961e-06,9.077516551769804e-07,3.7713784877269063e-06
radial,0.75,0.06896551995952097,0.005400000140070915,0.0004965517437085509,294.0286865234375,0.1563657969236374,0.19649472832679749,1.5491668818867765e-06,1.3209228200139478e-06,5.468497874971945e-06
radial,0.75,0.08620689590720253,0.005400000140070915,0.0006206896505318582,294.0423583984375,0.1563638299703598,0.19649221003055573,2.2878491563460557e-06,1.95352276932681e-06,8.060571417445317e-06
radial,0.75,0.1034482718548841,0.005400000140070915,0.0007448275573551655,294.0627746582031,0.15636086463928223,0.19648845493793488,3.389672201592475e-06,2.8981523882976035e-06,1.1921087207156233e-05
radial,0.75,0.12068965588696301,0.005400000140070915,0.0008689655223861337,294.0927429199219,0.156356543302536,0.19648295640945435,5.009045707993209e-06,4.288042418920668e-06,1.7586284229764715e-05
radial,0.75,0.13793103991904193,0.005400000140070915,0.0009931034874171019,294.1363525390625,0.1563502550125122,0.19647493958473206,7.36420406610705e-06,6.311644938250538e-06,2.58132022281643e-05
radial,0.75,0.15517240778232613,0.005400000140070915,0.0011172413360327482,294.19921875,0.15634118020534515,0.1964634209871292,1.0759127690107562e-05,9.231639523932245e-06,3.765531801036559e-05
radial,0.75,0.17241379181440505,0.005400000140070915,0.0012413793010637164,294.2890319824219,0.1563282161951065,0.19644695520401,1.561158205731772e-05,1.340921880910173e-05,5.4559372074436396e-05
radial,0.75,0.18965517584648398,0.005400000140070915,0.0013655172660946846,294.4164733886719,0.1563098430633545,0.19642361998558044,2.2492291464004666e-05,1.9337949197506532e-05,7.85010342951864e-05
radial,0.75,0.2068965437097682,0.005400000140070915,0.001489655114710331,294.5958251953125,0.15628400444984436,0.1963907927274704,3.218033816665411e-05,2.769157617876772e-05,0.00011217744759051129
radial,0.75,0.2241379115730524,0.005400000140070915,0.0016137929633259773,294.84686279296875,0.1562478095293045,0.19634486734867096,4.5740573114017025e-05,3.939062662539072e-05,0.00015927689673844725
radial,0.75,0.24137931177392602,0.005400000140070915,0.0017379310447722673,295.1966247558594,0.15619739890098572,0.19628086686134338,6.463763565989211e-05,5.570030407398008e-05,0.0002248777454951778
radial,0.75,0.25862069580600494,0.005400000140070915,0.0018620690098032355,295.6827697753906,0.15612731873989105,0.19619189202785492,9.090838284464553e-05,7.837817975087091e-05,0.00031605304684489965
radial,0.75,0.27586207983808386,0.005400000140070915,0.0019862069748342037,296.3583679199219,0.15602993965148926,0.19606822729110718,0.00012742554827127606,0.00010989947622874752,0.00044279880239628255
radial,0.75,0.2931034477013681,0.005400000140070915,0.00211034482344985,297.29925537109375,0.1558942049741745,0.19589589536190033,0.00017830506840255111,0.00015380427066702396,0.0006194728193804622
radial,0.75,0.31034481556465227,0.005400000140070915,0.0022344826720654964,298.6158142089844,0.15570411086082458,0.1956544816493988,0.00024953950196504593,0.00021523564646486193,0.0008670405950397253
radial,0.75,0.3275862157655259,0.005400000140070915,0.0023586207535117865,300.4710998535156,0.15543586015701294,0.19531379640102386,0.0003500055754557252,0.0003017933340743184,0.0012166633969172835
radial,0.75,0.3448275836288101,0.005400000140070915,0.002482758602127433,303.11065673828125,0.1550535410642624,0.194828063249588,0.0004931100411340594,0.00042492354987189174,0.0017155836103484035
radial,0.75,0.36206895149209434,0.005400000140070915,0.002606896450743079,306.9109191894531,0.15450164675712585,0.1941266804933548,0.0006994939176365733,0.0006021951558068395,0.0024368383456021547
radial,0.75,0.37931035169296795,0.005400000140070915,0.002731034532189369,312.46246337890625,0.1536925882101059,0.1930980235338211,0.0010017325403168797,0.0008612458477728069,0.0034961928613483906
radial,0.75,0.3965516872186628,0.005400000140070915,0.002855172147974372,320.7289123535156,0.15248186886310577,0.19155795872211456,0.0014534282963722944,0.0012474149698391557,0.005084916017949581
radial,0.75,0.4137930874195364,0.005400000140070915,0.002979310229420662,333.4603576660156,0.15060381591320038,0.18916770815849304,0.0021530636586248875,0.001843815203756094,0.007555472198873758
radial,0.75,0.43103448762041,0.005400000140070915,0.003103448310866952,353.71343994140625,0.147584468126297,0.185322567820549,0.003276090370491147,0.00279810419306159,0.011538123711943626
radial,0.75,0.4482758231461048,0.005400000140070915,0.0032275859266519547,384.38299560546875,0.14296594262123108,0.17944219708442688,0.004994580056518316,0.004270180594176054,0.01761263608932495
radial,0.75,0.4655172556845678,0.005400000140070915,0.0033517242409288883,427.2424621582031,0.13643278181552887,0.17113159596920013,0.007430120371282101,0.00638936273753643,0.02614530920982361
radial,0.75,0.48275862354785204,0.005400000140070915,0.0034758620895445347,484.7451171875,0.12751030921936035,0.1597953736782074,0.010764991864562035,0.009341616183519363,0.037699922919273376
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,559.3922119140625,0.11572495847940445,0.14485210180282593,0.01519219484180212,0.013368964195251465,0.052740633487701416
radial,0.75,0.5115740350447595,0.005400000140070915,0.0036833330523222685,619.7832641601562,0.10605984926223755,0.1326305866241455,0.018848808482289314,0.01680723950266838,0.06483661383390427
radial,0.75,0.5231481433535615,0.005400000140070915,0.0037666666321456432,687.7578735351562,0.09506383538246155,0.11877014487981796,0.023044537752866745,0.02088746428489685,0.07829390466213226
