case,x0.75,x1,x2,x3,x15,x30,x45,x60,x75,mean
全域平面·二阶(本次),184.22782869095897,239.99433599632292,289.8386474369163,296.2377003002606,648.3035090650695,619.891949283675,744.8653984816099,559.2199172185764,588.5124124640993,463.45463321527654
全域平面·一阶,171.97151617213058,262.3108106568974,307.6938225635596,324.2434135617197,683.2558001687507,633.2164532791049,746.0330578248534,558.1327891956125,592.1489093003474,475.4451747469973
全域平面·加密网格,184.45569493733126,239.8829953681478,289.73094584653137,295.5168214361579,647.148352492738,619.377843296159,745.2490466797935,564.8446803921831,605.0143737400385,465.69119490989783
轴对称·二阶,210.66963751886635,222.45757071400433,223.679487374349,180.96786011615208,437.6169515798485,310.7916282950426,141.80905088272044,142.88903238994035,64.12027727596931,215.00016623854367
轴对称·一阶,196.604806067361,242.16189401099803,234.25912591087024,198.80321049154693,471.93462652503183,331.54252866187323,152.96244231387402,152.32039610198828,62.628435666286556,227.02416286109224
3D方管·EDM(热入口),645.944889501761,718.0269201503478,734.9124339582958,708.1208762499327,1154.2389286447506,690.4295961214826,333.7092347906391,440.7742654115223,640.8099116327719,674.107450717945
轴对称·EDM(冷入口),191.34030406094146,366.76125459533387,526.9820519581932,557.6706026721232,618.3386018714333,922.3959418603669,1201.3351720547323,1013.2607419839371,735.5609750398323,681.5161828996548
3D圆进口·300mm域,316.0151670453562,94.75125259940963,91.55343320255783,196.77649995069567,622.5427169632711,459.0524195856904,236.69332491529227,255.54697535747098,104.65704867029399,264.17653758778204
3D圆进口·432mm域,315.6587931603603,97.82875172020627,97.0318554987412,190.34527118700566,573.0657839448188,289.15602409328835,208.79356735683854,269.0315615894127,137.23138922525774,242.01588864176995
