flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,01,1.0,Yfav,0.24,0.9941,0.0271,289.0,3.0,0.198,0.647,0.000557,0.155,0.000424,0.0,4.78e-07,6.59e-06,1.46e-07,3.57e-05
C,01,1.0,Yfav,0.31,0.9959,0.0277,292.0,4.0,0.198,0.646,0.00055,0.156,0.000551,0.0,5.83e-07,5.87e-06,2.37e-07,6.75e-05
C,01,1.0,Yfav,0.38,0.9968,0.0277,305.0,17.0,0.196,0.647,0.000984,0.155,0.000707,0.000235,7.01e-07,1.9e-05,1.99e-07,0.000151
C,01,1.0,Yfav,0.44,0.9796,0.0439,388.0,78.0,0.183,0.654,0.00626,0.15,0.00218,0.00608,3.29e-06,0.000125,5.45e-07,0.000993
C,01,1.0,Yfav,0.51,0.8407,0.0996,699.0,222.0,0.14,0.679,0.0285,0.117,0.0103,0.0288,4.84e-05,0.000501,3.25e-06,0.00625
C,01,1.0,Yfav,0.58,0.5567,0.097,1468.0,281.0,0.0518,0.712,0.0793,0.0452,0.027,0.085,0.000769,0.00102,1.38e-05,0.0253
C,01,1.0,Yfav,0.65,0.3645,0.0248,1926.0,55.0,0.0274,0.719,0.104,0.00502,0.0213,0.118,0.00274,0.000632,2.02e-05,0.0228
C,01,1.0,Yfav,0.72,0.3035,0.0161,1955.0,43.0,0.0388,0.73,0.0998,0.00141,0.00697,0.117,0.00287,0.000212,1.7e-05,0.00937
C,01,1.0,Yfav,0.79,0.2813,0.0143,1945.0,42.0,0.0467,0.733,0.0958,0.000629,0.00349,0.116,0.00239,0.000105,1.55e-05,0.00452
C,01,1.0,Yfav,0.86,0.2744,0.0139,1927.0,43.0,0.0487,0.735,0.0939,0.00052,0.00187,0.117,0.00199,3.86e-05,1.39e-05,0.00305
C,01,1.0,Yfav,0.93,0.2728,0.0135,1901.0,45.0,0.0502,0.735,0.0931,0.000616,0.00167,0.117,0.00176,5.94e-05,1.29e-05,0.00231
C,01,1.0,Yfav,1.0,0.2686,0.0137,1860.0,42.0,0.0523,0.736,0.0919,0.000776,0.0011,0.115,0.00154,1.51e-05,1.15e-05,0.00187
C,01,1.0,Yfav,1.07,0.2576,0.013,1777.0,46.0,0.0604,0.735,0.0891,0.000272,0.000526,0.113,0.00125,2.88e-05,1.14e-05,0.00146
C,01,1.0,Yfav,1.14,0.2382,0.0126,1639.0,50.0,0.0752,0.735,0.0825,0.000338,0.00036,0.105,0.000871,1.57e-05,8.6e-06,0.000878
C,01,1.0,Yfav,1.21,0.2017,0.0144,1453.0,57.0,0.102,0.736,0.0709,0.000245,0.000379,0.0897,0.000472,1.1e-05,7.02e-06,0.00059
C,01,1.0,Yfav,1.28,0.1441,0.0169,1194.0,73.0,0.141,0.741,0.0532,0.0,2.87e-05,0.0644,0.000155,1.33e-05,5.13e-06,0.000506
C,01,1.0,Yfav,1.35,0.0909,0.0157,923.0,80.0,0.177,0.746,0.037,0.0,0.000337,0.0392,4.27e-05,9.06e-06,3.04e-06,0.000372
C,01,1.0,Yfav,1.49,0.018,0.0052,482.0,37.0,0.225,0.755,0.0145,0.0,0.0,0.00493,8.12e-08,1.87e-05,3.28e-07,9.77e-05
C,01,1.0,Yfav,1.62,0.0023,0.0013,350.0,17.0,0.234,0.758,0.00777,0.0,0.0,8.17e-05,6.3e-09,8.85e-06,7.97e-08,0.0
C,01,1.0,Yfav,1.76,0.0012,0.0011,320.0,15.0,0.234,0.759,0.00725,0.0,0.0,0.0,0.0,6.75e-06,1.02e-07,0.0
C,01,1.0,Yfav,1.9,0.0012,0.001,305.0,10.0,0.235,0.758,0.00714,1.22e-05,0.0,0.0,0.0,7.23e-06,1.63e-07,4.56e-07
