flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,075,0.75,Yave,0.93,0.3806,0.0894,1862.0,135.0,0.0293,0.719,0.107,0.0068,0.0255,0.107,0.0022,0.00102,4.41e-05,0.0281
C,075,0.75,Yave,1.07,0.2495,0.0543,1694.0,158.0,0.0749,0.732,0.0897,0.000341,0.00617,0.0929,0.00206,0.000213,3.11e-05,0.00752
C,075,0.75,Yave,1.21,0.1564,0.0379,1307.0,182.0,0.132,0.741,0.0619,9.96e-06,0.000397,0.0627,0.000595,2.9e-05,1.52e-05,0.00093
C,075,0.75,Yave,1.35,0.0934,0.0244,934.0,146.0,0.175,0.747,0.0394,5.5e-05,0.000525,0.0382,6.26e-05,1.66e-05,6.26e-06,0.000135
C,075,0.75,Yave,1.49,0.0562,0.017,682.0,115.0,0.199,0.752,0.0265,6.44e-06,0.000194,0.0226,8.33e-06,2.04e-05,2.61e-06,6.01e-05
C,075,0.75,Yave,1.62,0.0272,0.0114,484.0,82.0,0.218,0.755,0.0171,0.0,0.0,0.00976,8.2e-07,1.95e-05,1.01e-06,1.84e-05
C,075,0.75,Yave,1.76,0.01,0.0064,363.0,48.0,0.229,0.758,0.011,0.0,0.0,0.00264,0.0,1.04e-05,3.9e-07,0.0
C,075,0.75,Yave,1.9,0.0033,0.0025,314.0,20.0,0.233,0.758,0.00829,0.0,0.0,0.000249,0.0,7.51e-06,1.88e-07,0.0
C,075,0.75,Yfav,-0.32,0.9344,0.0473,407.0,102.0,0.188,0.653,0.00778,0.142,0.00232,0.00622,1.34e-06,0.000216,1.26e-06,0.0027
C,075,0.75,Yfav,-0.18,0.9639,0.0322,343.0,46.0,0.195,0.649,0.00334,0.149,0.000703,0.00204,1.12e-07,8.53e-05,5.61e-07,0.00107
C,075,0.75,Yfav,-0.04,0.978,0.0261,321.0,25.0,0.196,0.649,0.00173,0.152,0.000434,0.000654,2.5e-07,3.83e-05,2.65e-07,0.00051
C,075,0.75,Yfav,0.1,0.9753,0.0287,332.0,36.0,0.195,0.649,0.00212,0.151,0.000634,0.00111,2.96e-07,5.38e-05,3.35e-07,0.000701
C,075,0.75,Yfav,0.24,0.9605,0.0403,384.0,90.0,0.19,0.652,0.00504,0.148,0.00189,0.00408,1.33e-06,0.000146,7.39e-07,0.00172
C,075,0.75,Yfav,0.38,0.9248,0.0567,504.0,158.0,0.177,0.657,0.0125,0.138,0.00538,0.0109,5.65e-06,0.000383,2.13e-06,0.00465
C,075,0.75,Yfav,0.51,0.8658,0.0848,705.0,259.0,0.154,0.665,0.0263,0.121,0.0125,0.0234,1.11e-05,0.00077,5.33e-06,0.0105
C,075,0.75,Yfav,0.65,0.755,0.1199,1069.0,338.0,0.107,0.681,0.0528,0.089,0.0243,0.0463,3.98e-05,0.00138,1.3e-05,0.0225
C,075,0.75,Yfav,0.79,0.5987,0.1455,1490.0,349.0,0.0574,0.698,0.0838,0.0484,0.0326,0.0759,0.000437,0.00169,2.68e-05,0.0342
C,075,0.75,Yfav,0.93,0.3852,0.0953,1850.0,146.0,0.0304,0.719,0.106,0.00785,0.0255,0.106,0.00214,0.00103,4.34e-05,0.0281
C,075,0.75,Yfav,1.07,0.2448,0.0542,1679.0,162.0,0.0777,0.733,0.0885,0.00033,0.00571,0.0914,0.002,0.000198,3.02e-05,0.00699
C,075,0.75,Yfav,1.21,0.1512,0.0365,1281.0,179.0,0.136,0.742,0.0603,6.28e-06,0.000321,0.0607,0.00053,2.56e-05,1.44e-05,0.000797
C,075,0.75,Yfav,1.35,0.0898,0.023,911.0,141.0,0.177,0.748,0.0382,5.34e-05,0.000507,0.0367,5.16e-05,1.7e-05,5.85e-06,0.000123
C,075,0.75,Yfav,1.49,0.0533,0.0167,662.0,114.0,0.201,0.752,0.0256,7.54e-06,0.000163,0.0213,7.45e-06,2.05e-05,2.43e-06,5.71e-05
C,075,0.75,Yfav,1.62,0.0253,0.011,470.0,79.0,0.219,0.756,0.0165,0.0,0.0,0.00893,6.08e-07,1.9e-05,9.28e-07,1.71e-05
C,075,0.75,Yfav,1.76,0.0093,0.006,357.0,45.0,0.229,0.758,0.0107,0.0,0.0,0.00234,0.0,9.99e-06,3.64e-07,0.0
C,075,0.75,Yfav,1.9,0.0031,0.0024,313.0,19.0,0.233,0.758,0.00823,0.0,0.0,0.000205,0.0,7.39e-06,1.86e-07,0.0
C,15,15.0,Yave,-0.56,0.7888,0.1014,939.0,324.0,0.125,0.67,0.0466,0.0972,0.0223,0.0393,3.45e-05,0.00145,8.26e-06,0.0209
C,15,15.0,Yave,-0.28,0.866,0.0716,649.0,218.0,0.16,0.662,0.0248,0.122,0.0115,0.0209,9.14e-06,0.000792,3.51e-06,0.0103
C,15,15.0,Yave,0.0,0.9138,0.0593,519.0,147.0,0.174,0.657,0.015,0.135,0.00644,0.0124,3.97e-06,0.000477,2.06e-06,0.00586
C,15,15.0,Yave,0.28,0.8938,0.0679,604.0,190.0,0.164,0.66,0.0208,0.128,0.00992,0.0172,8.14e-06,0.000677,2.81e-06,0.00842
C,15,15.0,Yave,0.56,0.8157,0.0983,888.0,308.0,0.13,0.671,0.0417,0.105,0.02,0.0335,2.37e-05,0.00132,6.9e-06,0.0182
C,15,15.0,Yave,0.83,0.6526,0.1558,1375.0,407.0,0.0719,0.689,0.0789,0.0596,0.0336,0.0644,0.000341,0.00197,1.76e-05,0.0335
C,15,15.0,Yave,1.11,0.4517,0.158,1717.0,282.0,0.0423,0.71,0.101,0.0195,0.0317,0.0903,0.00134,0.00161,2.75e-05,0.0331
C,15,15.0,Yave,1.39,0.2554,0.1175,1592.0,380.0,0.0812,0.732,0.0856,0.00153,0.0126,0.0842,0.00159,0.000497,2.43e-05,0.0135
C,15,15.0,Yave,1.67,0.1276,0.0879,1084.0,459.0,0.152,0.745,0.051,3.99e-05,0.00204,0.0489,0.000601,7.18e-05,1.31e-05,0.00224
C,15,15.0,Yave,1.94,0.051,0.0557,633.0,356.0,0.201,0.754,0.0254,0.0,0.0,0.0197,7.91e-05,2.12e-05,4.93e-06,0.00026
C,15,15.0,Yave,2.22,0.0188,0.0294,414.0,200.0,0.222,0.757,0.0137,0.0,0.0,0.0068,5.3e-06,1.19e-05,1.59e-06,4.05e-05
C,15,15.0,Yave,2.5,0.0038,0.008,310.0,55.0,0.232,0.759,0.00829,0.0,0.0,0.000668,0.0,6.86e-06,3.33e-07,5.52e-06
C,15,15.0,Yave,2.78,0.0015,0.0014,293.0,7.0,0.233,0.76,0.00739,8.81e-06,0.0,0.0,0.0,6.51e-06,1.8e-07,3.89e-06
C,15,15.0,Yfav,-0.56,0.8202,0.0938,833.0,296.0,0.138,0.666,0.0385,0.107,0.0184,0.0323,2.4e-05,0.00124,6.37e-06,0.0169
C,15,15.0,Yfav,-0.28,0.8844,0.0665,587.0,188.0,0.167,0.66,0.0203,0.127,0.00898,0.0169,7.01e-06,0.000661,2.74e-06,0.00818
C,15,15.0,Yfav,0.0,0.9249,0.0535,487.0,124.0,0.178,0.656,0.0127,0.138,0.00523,0.0103,2.76e-06,0.000414,1.71e-06,0.00483
C,15,15.0,Yfav,0.28,0.9101,0.0615,554.0,165.0,0.17,0.658,0.0172,0.133,0.00793,0.0141,6.07e-06,0.000574,2.25e-06,0.00678
C,15,15.0,Yfav,0.56,0.8448,0.0878,790.0,276.0,0.142,0.667,0.0341,0.113,0.0164,0.0274,1.85e-05,0.00112,5.35e-06,0.0145
C,15,15.0,Yfav,0.83,0.7003,0.1503,1240.0,405.0,0.0884,0.684,0.0684,0.0725,0.0299,0.0552,0.00023,0.00184,1.42e-05,0.0292
C,15,15.0,Yfav,1.11,0.4677,0.1735,1661.0,307.0,0.049,0.709,0.0974,0.024,0.0309,0.0858,0.0012,0.00161,2.56e-05,0.0321
C,15,15.0,Yfav,1.39,0.2232,0.122,1465.0,427.0,0.0999,0.735,0.0768,0.00133,0.00995,0.0744,0.00131,0.000397,2.1e-05,0.0106
C,15,15.0,Yfav,1.67,0.0896,0.0762,868.0,427.0,0.177,0.749,0.0386,1.95e-05,0.0011,0.034,0.000319,4.82e-05,8.81e-06,0.00119
C,15,15.0,Yfav,1.94,0.0297,0.0393,491.0,260.0,0.215,0.756,0.018,0.0,0.0,0.0107,2.67e-05,1.71e-05,2.77e-06,0.000142
C,15,15.0,Yfav,2.22,0.011,0.0198,361.0,136.0,0.227,0.758,0.011,0.0,0.0,0.00352,1.59e-06,1.05e-05,9.04e-07,2.25e-05
C,15,15.0,Yfav,2.5,0.0028,0.0062,303.0,42.0,0.232,0.759,0.00797,0.0,0.0,0.000298,0.0,6.44e-06,2.59e-07,3.16e-06
C,15,15.0,Yfav,2.78,0.0015,0.0013,293.0,6.0,0.233,0.76,0.00738,8.93e-06,0.0,0.0,0.0,6.49e-06,1.78e-07,3.91e-06
C,30,30.0,Yave,-0.83,0.5426,0.1564,1628.0,330.0,0.0422,0.702,0.0993,0.0321,0.0396,0.0817,0.00065,0.00243,3.25e-05,0.0399
C,30,30.0,Yave,-0.42,0.6225,0.1481,1439.0,364.0,0.0623,0.692,0.087,0.0502,0.0389,0.0679,0.000315,0.0025,2.51e-05,0.0379
C,30,30.0,Yave,0.0,0.6664,0.1326,1332.0,368.0,0.0734,0.688,0.079,0.0609,0.0362,0.0606,0.000186,0.00243,2.03e-05,0.0358
C,30,30.0,Yave,0.42,0.6289,0.1486,1428.0,373.0,0.0633,0.691,0.0863,0.0516,0.0376,0.0669,0.000308,0.00249,2.38e-05,0.0377
C,30,30.0,Yave,0.83,0.5529,0.16,1587.0,342.0,0.047,0.7,0.0968,0.0349,0.0393,0.0782,0.000538,0.00245,3.02e-05,0.04
C,30,30.0,Yave,1.25,0.4421,0.1635,1727.0,296.0,0.0404,0.712,0.103,0.0164,0.034,0.0898,0.00103,0.00194,3.71e-05,0.0353
C,30,30.0,Yave,1.67,0.323,0.1508,1684.0,353.0,0.0602,0.725,0.0943,0.00537,0.0208,0.09,0.00129,0.00104,3.67e-05,0.0225
C,30,30.0,Yave,2.08,0.232,0.1193,1530.0,449.0,0.0899,0.735,0.0794,0.00065,0.01,0.0825,0.00119,0.000386,3.29e-05,0.0107
C,30,30.0,Yave,2.5,0.1638,0.1011,1259.0,474.0,0.128,0.743,0.0607,0.000228,0.00307,0.0641,0.00069,0.000115,2.42e-05,0.00361
C,30,30.0,Yave,2.92,0.1139,0.0859,1009.0,464.0,0.158,0.748,0.0449,0.0,0.00115,0.0473,0.000355,4.61e-05,1.69e-05,0.00129
C,30,30.0,Yave,3.33,0.074,0.0648,778.0,386.0,0.184,0.752,0.0317,0.0,3.88e-06,0.0313,0.000116,2.38e-05,1.06e-05,0.000291
C,30,30.0,Yave,3.75,0.0492,0.0502,619.0,321.0,0.202,0.754,0.0234,0.0,0.0,0.0207,3.03e-05,1.38e-05,7.01e-06,7.88e-05
C,30,30.0,Yave,4.17,0.0329,0.0375,512.0,251.0,0.212,0.757,0.0178,0.0,0.0,0.0138,9.2e-06,1.43e-05,4.75e-06,2.68e-05
C,30,30.0,Yave,5.0,0.0094,0.0182,352.0,128.0,0.227,0.76,0.01,0.0,0.0,0.00341,5.97e-07,8.21e-06,1.29e-06,7.32e-06
C,30,30.0,Yfav,-0.83,0.5679,0.1632,1553.0,346.0,0.0512,0.699,0.0938,0.0388,0.0382,0.0765,0.000544,0.00241,2.94e-05,0.0382
C,30,30.0,Yfav,-0.42,0.6553,0.1446,1341.0,360.0,0.0746,0.688,0.0794,0.0592,0.0365,0.0616,0.000232,0.00241,2.15e-05,0.035
C,30,30.0,Yfav,0.0,0.6996,0.1234,1229.0,353.0,0.0869,0.684,0.0706,0.0705,0.0332,0.054,0.000128,0.00228,1.69e-05,0.0321
C,30,30.0,Yfav,0.42,0.6636,0.1451,1325.0,368.0,0.0762,0.687,0.078,0.0613,0.0351,0.06,0.000224,0.00237,2.02e-05,0.0344
C,30,30.0,Yfav,0.83,0.5795,0.1679,1506.0,353.0,0.0568,0.697,0.0906,0.0421,0.0375,0.0724,0.000439,0.00241,2.69e-05,0.0379
C,30,30.0,Yfav,1.25,0.4446,0.1803,1667.0,318.0,0.0487,0.711,0.0989,0.0192,0.0323,0.0855,0.000923,0.00189,3.45e-05,0.0335
C,30,30.0,Yfav,1.67,0.2922,0.1616,1577.0,400.0,0.0768,0.729,0.0862,0.00519,0.0174,0.0823,0.0011,0.000887,3.29e-05,0.0188
C,30,30.0,Yfav,2.08,0.1882,0.1193,1340.0,493.0,0.116,0.74,0.0668,0.000468,0.00669,0.0687,0.00086,0.000263,2.66e-05,0.00718
C,30,30.0,Yfav,2.5,0.1233,0.0909,1051.0,459.0,0.153,0.747,0.048,0.000149,0.00163,0.0489,0.000403,6.88e-05,1.78e-05,0.00196
C,30,30.0,Yfav,2.92,0.0764,0.0706,790.0,409.0,0.183,0.752,0.0327,0.0,0.000437,0.0317,0.000163,2.81e-05,1.1e-05,0.000565
C,30,30.0,Yfav,3.33,0.048,0.0497,614.0,313.0,0.202,0.755,0.0232,0.0,0.0,0.0199,4.42e-05,1.91e-05,6.62e-06,0.000143
C,30,30.0,Yfav,3.75,0.0301,0.0373,492.0,246.0,0.214,0.757,0.0171,0.0,0.0,0.0123,1.07e-05,1.32e-05,4.19e-06,4.89e-05
C,30,30.0,Yfav,4.17,0.0205,0.0277,427.0,189.0,0.22,0.758,0.0138,0.0,0.0,0.00822,3.57e-06,1.25e-05,2.91e-06,1.39e-05
C,30,30.0,Yfav,5.0,0.0057,0.0129,326.0,91.0,0.229,0.76,0.00881,0.0,0.0,0.00179,2.35e-07,7.5e-06,8.01e-07,3.82e-06
C,45,45.0,Yave,-1.11,0.3238,0.1008,1857.0,262.0,0.0384,0.727,0.106,0.000928,0.0211,0.105,0.0014,0.000935,4.85e-05,0.021
C,45,45.0,Yave,-0.56,0.3519,0.0942,1918.0,192.0,0.0263,0.725,0.112,0.00146,0.0266,0.107,0.00139,0.00123,4.98e-05,0.0261
C,45,45.0,Yave,0.0,0.3544,0.0989,1910.0,204.0,0.0278,0.723,0.112,0.00163,0.0266,0.106,0.00142,0.00125,5.06e-05,0.0269
C,45,45.0,Yave,0.56,0.3401,0.0952,1898.0,214.0,0.031,0.724,0.11,0.000577,0.0245,0.106,0.00141,0.00114,4.94e-05,0.0252
C,45,45.0,Yave,1.11,0.3114,0.1044,1824.0,292.0,0.0451,0.727,0.103,0.000756,0.0186,0.103,0.00137,0.000829,4.83e-05,0.0191
C,45,45.0,Yave,1.67,0.2765,0.1123,1711.0,363.0,0.0631,0.731,0.0931,0.000397,0.0146,0.0958,0.00112,0.000617,4.42e-05,0.015
C,45,45.0,Yave,2.22,0.2313,0.105,1575.0,419.0,0.0852,0.736,0.0815,0.00022,0.007,0.0884,0.000993,0.000272,3.99e-05,0.00733
C,45,45.0,Yave,2.78,0.1762,0.0959,1343.0,455.0,0.117,0.742,0.0655,0.0,0.00224,0.0722,0.000643,8.2e-05,3.13e-05,0.00278
C,45,45.0,Yave,3.33,0.139,0.081,1161.0,429.0,0.141,0.746,0.0535,0.0,0.000781,0.0588,0.000349,3.39e-05,2.37e-05,0.000751
C,45,45.0,Yave,3.89,0.1127,0.078,1007.0,433.0,0.158,0.748,0.0444,0.0,0.000555,0.0483,0.000223,1.76e-05,1.91e-05,0.000432
C,45,45.0,Yave,4.44,0.082,0.0657,829.0,389.0,0.179,0.751,0.0342,0.0,9.06e-05,0.0353,9.84e-05,1.73e-05,1.35e-05,0.000212
C,45,45.0,Yave,5.0,0.0573,0.0476,677.0,302.0,0.195,0.754,0.026,0.0,3.59e-05,0.0244,3e-05,1.66e-05,9.18e-06,5.33e-05
C,45,45.0,Yave,6.11,0.0324,0.0344,511.0,233.0,0.211,0.757,0.0175,0.0,0.0,0.0137,5.25e-06,1.56e-05,4.99e-06,2.21e-05
C,45,45.0,Yave,7.22,0.0109,0.0191,363.0,132.0,0.226,0.76,0.0104,0.0,0.0,0.00424,6.08e-07,1.01e-05,1.71e-06,1.01e-05
C,45,45.0,Yfav,-1.11,0.3061,0.1076,1802.0,300.0,0.0476,0.729,0.101,0.000835,0.0186,0.101,0.0013,0.000826,4.62e-05,0.0185
C,45,45.0,Yfav,-0.56,0.3417,0.0993,1892.0,215.0,0.0312,0.726,0.109,0.00141,0.0248,0.105,0.00135,0.00116,4.85e-05,0.0244
C,45,45.0,Yfav,0.0,0.343,0.1048,1879.0,230.0,0.0334,0.724,0.11,0.00156,0.0247,0.104,0.00138,0.00116,4.91e-05,0.025
C,45,45.0,Yfav,0.56,0.3274,0.1006,1863.0,241.0,0.0372,0.726,0.107,0.000526,0.0224,0.104,0.00136,0.00104,4.79e-05,0.0231
C,45,45.0,Yfav,1.11,0.2906,0.1109,1756.0,333.0,0.0561,0.73,0.097,0.000657,0.0159,0.0981,0.00125,0.000712,4.54e-05,0.0164
C,45,45.0,Yfav,1.67,0.2465,0.1159,1600.0,405.0,0.08,0.734,0.0847,0.000315,0.0113,0.0879,0.000947,0.000478,3.97e-05,0.0116
C,45,45.0,Yfav,2.22,0.1966,0.1057,1421.0,453.0,0.107,0.74,0.071,0.000144,0.0048,0.0767,0.000747,0.000191,3.37e-05,0.00502
C,45,45.0,Yfav,2.78,0.1404,0.0892,1160.0,450.0,0.141,0.745,0.054,0.0,0.00124,0.0582,0.000405,5.24e-05,2.44e-05,0.00158
C,45,45.0,Yfav,3.33,0.1073,0.0732,983.0,408.0,0.162,0.749,0.0431,0.0,0.000361,0.0455,0.000196,2.59e-05,1.77e-05,0.000385
C,45,45.0,Yfav,3.89,0.0809,0.0656,820.0,384.0,0.18,0.751,0.034,0.0,0.000246,0.0346,0.000105,1.62e-05,1.31e-05,0.000192
C,45,45.0,Yfav,4.44,0.0555,0.0524,662.0,327.0,0.197,0.754,0.0254,0.0,0.0,0.0237,4.05e-05,1.73e-05,8.76e-06,7.97e-05
C,45,45.0,Yfav,5.0,0.0396,0.0383,560.0,253.0,0.207,0.756,0.0201,0.0,0.0,0.0166,1.15e-05,1.56e-05,6.2e-06,2.23e-05
C,45,45.0,Yfav,6.11,0.0208,0.0268,431.0,184.0,0.219,0.759,0.0137,0.0,0.0,0.00854,2.35e-06,1.36e-05,3.19e-06,1.54e-05
C,45,45.0,Yfav,7.22,0.0068,0.014,334.0,97.0,0.229,0.76,0.00907,0.0,0.0,0.00236,2.66e-07,8.5e-06,1.1e-06,7.16e-06
C,60,60.0,Yave,-1.39,0.1767,0.0654,1376.0,325.0,0.114,0.742,0.0667,0.0,0.0,0.0761,0.000306,6.71e-06,2.84e-05,0.000185
C,60,60.0,Yave,-0.69,0.1901,0.0669,1438.0,330.0,0.106,0.742,0.0704,0.000231,0.000326,0.0808,0.000382,2.32e-05,3.7e-05,0.000405
C,60,60.0,Yave,0.0,0.1941,0.0634,1460.0,304.0,0.103,0.741,0.072,9.15e-05,6.71e-05,0.0829,0.000399,1.63e-05,3.78e-05,0.000545
C,60,60.0,Yave,0.69,0.1883,0.0661,1431.0,321.0,0.107,0.741,0.07,5.18e-05,0.00037,0.0807,0.000387,1.79e-05,3.76e-05,0.000448
C,60,60.0,Yave,1.39,0.1753,0.064,1362.0,317.0,0.116,0.742,0.0655,0.000162,0.0,0.075,0.00029,1.19e-05,3.59e-05,0.000253
C,60,60.0,Yave,2.08,0.1594,0.0651,1275.0,338.0,0.127,0.744,0.0602,0.00011,0.0,0.0685,0.000219,1.03e-05,3.29e-05,0.000141
C,60,60.0,Yave,2.78,0.1345,0.0645,1144.0,349.0,0.143,0.746,0.0523,0.0,0.000299,0.0586,0.000134,1.16e-05,2.73e-05,0.000104
C,60,60.0,Yave,3.47,0.1137,0.0591,1021.0,334.0,0.158,0.748,0.0448,4.07e-05,0.0,0.0491,7.98e-05,1.07e-05,2.21e-05,0.0
C,60,60.0,Yave,4.17,0.0966,0.0566,917.0,328.0,0.169,0.75,0.0387,4.7e-05,0.000118,0.0419,4.63e-05,1.75e-05,1.84e-05,3.44e-05
C,60,60.0,Yave,5.56,0.0593,0.0409,693.0,264.0,0.194,0.754,0.0265,0.0,0.0,0.0258,9.46e-06,1.49e-05,1.1e-05,2.52e-05
C,60,60.0,Yave,6.94,0.0334,0.0304,518.0,204.0,0.211,0.757,0.0178,0.0,0.0,0.0143,2.65e-06,1.58e-05,5.71e-06,1.03e-05
C,60,60.0,Yave,8.33,0.016,0.0211,397.0,145.0,0.223,0.759,0.0122,0.0,0.0,0.00656,1.01e-06,9.39e-06,2.89e-06,0.0
C,60,60.0,Yave,9.72,0.0043,0.0088,318.0,62.0,0.231,0.76,0.00835,0.0,0.0,0.00129,1.37e-07,7.09e-06,8.73e-07,1.87e-06
C,60,60.0,Yfav,-1.39,0.1599,0.0637,1289.0,327.0,0.126,0.744,0.0611,0.0,0.0,0.069,0.000227,5.29e-06,2.52e-05,9.28e-05
C,60,60.0,Yfav,-0.69,0.1721,0.0676,1346.0,343.0,0.118,0.743,0.0645,0.000193,0.000222,0.0732,0.00029,2.15e-05,3.3e-05,0.000276
C,60,60.0,Yfav,0.0,0.1796,0.0627,1388.0,308.0,0.113,0.742,0.0673,6.83e-05,0.0,0.0768,0.000313,1.43e-05,3.46e-05,0.000381
C,60,60.0,Yfav,0.69,0.1716,0.0655,1347.0,327.0,0.118,0.743,0.0646,2.88e-05,0.000283,0.0737,0.000295,1.59e-05,3.38e-05,0.000306
C,60,60.0,Yfav,1.39,0.159,0.0626,1278.0,319.0,0.127,0.744,0.0602,0.000127,0.0,0.0681,0.000216,1.05e-05,3.21e-05,0.000161
C,60,60.0,Yfav,2.08,0.1403,0.0635,1172.0,340.0,0.14,0.746,0.0539,8.95e-05,3.96e-07,0.0603,0.000152,1.18e-05,2.83e-05,8.44e-05
C,60,60.0,Yfav,2.78,0.1135,0.061,1025.0,342.0,0.157,0.748,0.0452,0.0,0.000266,0.0494,8.57e-05,1.31e-05,2.24e-05,6.58e-05
C,60,60.0,Yfav,3.47,0.0942,0.0541,906.0,317.0,0.171,0.75,0.0383,3.05e-05,0.0,0.0406,4.86e-05,1.32e-05,1.78e-05,0.0
C,60,60.0,Yfav,4.17,0.0768,0.0506,797.0,305.0,0.182,0.752,0.0322,2.89e-05,5.81e-05,0.0332,2.6e-05,1.82e-05,1.42e-05,2.35e-05
C,60,60.0,Yfav,5.56,0.0448,0.036,597.0,238.0,0.203,0.756,0.0217,0.0,0.0,0.0193,5.67e-06,1.48e-05,8.13e-06,2.26e-05
C,60,60.0,Yfav,6.94,0.0237,0.0251,452.0,171.0,0.217,0.758,0.0147,0.0,0.0,0.00992,1.44e-06,1.39e-05,4e-06,8.51e-06
C,60,60.0,Yfav,8.33,0.0108,0.0166,361.0,114.0,0.226,0.759,0.0104,0.0,0.0,0.00417,5.28e-07,8.5e-06,1.99e-06,0.0
C,60,60.0,Yfav,9.72,0.0031,0.0071,310.0,50.0,0.232,0.76,0.00797,0.0,0.0,0.000776,7.99e-08,6.56e-06,6.81e-07,1.59e-06
C,75,75.0,Yave,-1.39,0.1142,0.0373,1031.0,211.0,0.158,0.748,0.0448,0.000109,0.000149,0.0494,1.82e-05,7.07e-06,2.14e-05,0.0
C,75,75.0,Yave,0.0,0.1175,0.0345,1057.0,193.0,0.155,0.748,0.0461,0.0,0.000133,0.0513,2.2e-05,8.25e-06,2.31e-05,0.0
C,75,75.0,Yave,1.39,0.1115,0.0386,1014.0,218.0,0.159,0.748,0.0439,6e-05,0.000146,0.0484,1.76e-05,1.38e-05,2.19e-05,8.27e-06
C,75,75.0,Yave,2.78,0.0955,0.0388,918.0,233.0,0.17,0.75,0.0385,1.1e-05,0.000172,0.0416,1.08e-05,1.4e-05,1.8e-05,1.21e-05
C,75,75.0,Yave,4.17,0.0773,0.0364,807.0,227.0,0.182,0.752,0.0323,0.0,5.43e-05,0.0336,7.29e-06,1.69e-05,1.47e-05,2.23e-05
C,75,75.0,Yave,5.56,0.0542,0.0325,658.0,213.0,0.198,0.754,0.0248,0.0,0.000102,0.0235,5.81e-06,1.92e-05,1.01e-05,0.0
C,75,75.0,Yave,6.94,0.0375,0.0269,545.0,181.0,0.208,0.757,0.0191,0.0,0.0,0.0161,2.93e-06,1.41e-05,6.61e-06,6.47e-06
C,75,75.0,Yave,8.33,0.0256,0.0233,464.0,160.0,0.216,0.758,0.0152,0.0,0.0,0.0107,1.65e-06,1.24e-05,3.99e-06,4.02e-06
C,75,75.0,Yave,9.72,0.0133,0.017,380.0,116.0,0.224,0.759,0.0112,0.0,0.0,0.00533,2.68e-07,1.13e-05,2.34e-06,1.5e-06
C,75,75.0,Yave,11.11,0.0061,0.0107,331.0,74.0,0.229,0.76,0.00879,0.0,0.0,0.00217,2.66e-07,7.54e-06,1.17e-06,0.0
C,75,75.0,Yfav,-1.39,0.1061,0.0367,984.0,213.0,0.164,0.748,0.0421,9.76e-05,0.000133,0.0458,1.48e-05,8.71e-06,1.96e-05,0.0
C,75,75.0,Yfav,0.0,0.1109,0.0338,1019.0,194.0,0.159,0.749,0.0439,0.0,0.000128,0.0484,1.85e-05,9.51e-06,2.15e-05,0.0
C,75,75.0,Yfav,1.39,0.1029,0.0375,964.0,217.0,0.165,0.749,0.041,5.5e-05,0.000155,0.0446,1.36e-05,1.46e-05,1.99e-05,8.59e-06
C,75,75.0,Yfav,2.78,0.0849,0.0381,853.0,233.0,0.177,0.751,0.0349,7.57e-06,0.000138,0.0369,8.03e-06,1.54e-05,1.56e-05,1.35e-05
C,75,75.0,Yfav,4.17,0.0667,0.0348,740.0,221.0,0.19,0.753,0.0288,0.0,0.0,0.0289,5.55e-06,1.75e-05,1.24e-05,2.47e-05
C,75,75.0,Yfav,5.56,0.0438,0.0301,589.0,200.0,0.204,0.755,0.0214,0.0,0.0,0.0188,4.23e-06,1.85e-05,8e-06,0.0
C,75,75.0,Yfav,6.94,0.0296,0.0239,492.0,162.0,0.213,0.757,0.0166,0.0,0.0,0.0125,1.93e-06,1.37e-05,5.23e-06,6e-06
C,75,75.0,Yfav,8.33,0.019,0.0199,419.0,137.0,0.221,0.758,0.0131,0.0,0.0,0.00778,9.97e-07,1.12e-05,2.9e-06,2.83e-06
C,75,75.0,Yfav,9.72,0.0096,0.0139,355.0,95.0,0.227,0.76,0.01,0.0,0.0,0.00364,1.27e-07,1e-05,1.72e-06,8.61e-07
C,75,75.0,Yfav,11.11,0.0044,0.0088,319.0,60.0,0.23,0.76,0.00826,0.0,0.0,0.00141,1.52e-07,7.09e-06,8.9e-07,0.0
C,CL,,Yave,5.0,0.9931,0.0284,302.0,5.0,0.196,0.648,0.000642,0.155,0.000347,0.0,5.31e-07,7.59e-06,2.25e-07,8.56e-05
C,CL,,Yave,10.0,0.9639,0.039,368.0,62.0,0.19,0.652,0.00457,0.148,0.00153,0.00321,4.19e-07,0.000129,6.79e-07,0.00157
C,CL,,Yave,15.0,0.9127,0.0564,520.0,147.0,0.174,0.658,0.0148,0.135,0.00659,0.0123,4.95e-06,0.000472,2.44e-06,0.00583
C,CL,,Yave,20.0,0.8445,0.0703,754.0,233.0,0.147,0.666,0.0317,0.114,0.0161,0.0261,1.39e-05,0.00107,6.03e-06,0.0139
C,CL,,Yave,25.0,0.7785,0.0846,1005.0,282.0,0.116,0.674,0.0515,0.0928,0.0266,0.0405,2.7e-05,0.00177,1.14e-05,0.0238
C,CL,,Yave,30.0,0.6798,0.1294,1321.0,349.0,0.0744,0.686,0.0782,0.0633,0.036,0.0599,0.000161,0.00252,1.98e-05,0.0351
C,CL,,Yave,35.0,0.5656,0.1427,1629.0,309.0,0.0363,0.701,0.102,0.0333,0.0421,0.0794,0.00047,0.00292,3.17e-05,0.0439
