profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,0.0,0.005400000140070915,0.0,294.02581787109375,0.1563660204410553,0.1964949667453766,1.424707534170011e-06,1.0807408443724853e-06,5.484931989485631e-06
radial,0.75,0.01724137998988024,0.005400000140070915,0.00012413793592713773,294.027587890625,0.1563657522201538,0.19649462401866913,1.521624199085636e-06,1.1553167951205978e-06,5.855384188180324e-06
radial,0.75,0.03448275997976048,0.005400000140070915,0.00024827587185427547,294.0331115722656,0.15636493265628815,0.19649355113506317,1.8238952179672197e-06,1.3880750202588388e-06,7.010365152382292e-06
radial,0.75,0.05172413592744205,0.005400000140070915,0.00037241377867758274,294.0429992675781,0.15636342763900757,0.19649162888526917,2.3672712359257275e-06,1.8070601299768896e-06,9.085179044632241e-06
radial,0.75,0.06896551995952097,0.005400000140070915,0.0004965517437085509,294.05841064453125,0.15636108815670013,0.1964886337518692,3.2152679523278493e-06,2.462176780682057e-06,1.2320017958700191e-05
radial,0.75,0.08620689590720253,0.005400000140070915,0.0006206896505318582,294.0811767578125,0.15635764598846436,0.19648422300815582,4.465301572054159e-06,3.43013675774273e-06,1.70828279806301e-05
radial,0.75,0.1034482718548841,0.005400000140070915,0.0007448275573551655,294.1138916015625,0.1563527137041092,0.19647789001464844,6.2579597397416364e-06,4.821959009859711e-06,2.3903849069029093e-05
radial,0.75,0.12068965588696301,0.005400000140070915,0.0008689655223861337,294.1600646972656,0.15634572505950928,0.19646896421909332,8.790128958935384e-06,6.79361573929782e-06,3.3524400350870565e-05
radial,0.75,0.13793103991904193,0.005400000140070915,0.0009931034874171019,294.2247314453125,0.1563359797000885,0.19645647704601288,1.233270904776873e-05,9.560465514368843e-06,4.696258110925555e-05
radial,0.75,0.15517240778232613,0.005400000140070915,0.0011172413360327482,294.31463623046875,0.1563224494457245,0.19643913209438324,1.725301262922585e-05,1.3415624380286317e-05,6.559602479683235e-05
radial,0.75,0.17241379181440505,0.005400000140070915,0.0012413793010637164,294.43878173828125,0.1563037782907486,0.19641520082950592,2.404445331194438e-05,1.8754413758870214e-05,9.127138037001714e-05
radial,0.75,0.18965517584648398,0.005400000140070915,0.0013655172660946846,294.6093444824219,0.15627814829349518,0.19638238847255707,3.3369011362083256e-05,2.610933006508276e-05,0.00012646077084355056
radial,0.75,0.2068965437097682,0.005400000140070915,0.001489655114710331,294.8426818847656,0.15624314546585083,0.19633756577968597,4.6115506847854704e-05,3.619819472078234e-05,0.00017447632853873074
radial,0.75,0.2241379115730524,0.005400000140070915,0.0016137929633259773,295.16082763671875,0.15619546175003052,0.19627651572227478,6.348113674903288e-05,4.999170050723478e-05,0.0002397696953266859
radial,0.75,0.24137931177392602,0.005400000140070915,0.0017379310447722673,295.5936279296875,0.15613068640232086,0.19619359076023102,8.709188114153221e-05,6.881323497509584e-05,0.00032837409526109695
radial,0.75,0.25862069580600494,0.005400000140070915,0.0018620690098032355,296.182373046875,0.1560426503419876,0.19608089327812195,0.00011919009557459503,9.449230128666386e-05,0.00044859517947770655
radial,0.75,0.27586207983808386,0.005400000140070915,0.0019862069748342037,296.986572265625,0.15592248737812042,0.19592709839344025,0.0001630326296435669,0.00012965091445948929,0.0006125160725787282
radial,0.75,0.2931034477013681,0.005400000140070915,0.00211034482344985,298.09307861328125,0.1557571440935135,0.1957155168056488,0.00022340178838931024,0.00017809933342505246,0.0008378982311114669
radial,0.75,0.31034481556465227,0.005400000140070915,0.0022344826720654964,299.6246643066406,0.15552827715873718,0.1954226791858673,0.0003070254169870168,0.0002452862972859293,0.0011496123624965549
radial,0.75,0.3275862157655259,0.005400000140070915,0.0023586207535117865,301.7606506347656,0.15520904958248138,0.19501429796218872,0.00042373561882413924,0.00033925101161003113,0.0015838844701647758
radial,0.75,0.3448275836288101,0.005400000140070915,0.002482758602127433,304.7755432128906,0.1547582596540451,0.19443775713443756,0.0005886494182050228,0.0004723318852484226,0.0021963606122881174
radial,0.75,0.36206895149209434,0.005400000140070915,0.002606896450743079,309.09368896484375,0.1541120409965515,0.19361132383346558,0.0008252469124272466,0.0006637246697209775,0.003073306055739522
radial,0.75,0.37931035169296795,0.005400000140070915,0.002731034532189369,315.3661193847656,0.15317164361476898,0.1924089789390564,0.0011697993613779545,0.0009431801154278219,0.004347614943981171
radial,0.75,0.3965516872186628,0.005400000140070915,0.002855172147974372,324.668212890625,0.15177284181118011,0.19062088429927826,0.0016827753279358149,0.0013604634441435337,0.006240201648324728
radial,0.75,0.4137930874195364,0.005400000140070915,0.002979310229420662,339.21563720703125,0.1495736688375473,0.18781040608882904,0.0024900631979107857,0.002019353676587343,0.009210333228111267
radial,0.75,0.43103448762041,0.005400000140070915,0.003103448310866952,362.9105529785156,0.14595884084701538,0.18319204449653625,0.0038185191806405783,0.0031077831517904997,0.014082410372793674
radial,0.75,0.4482758231461048,0.005400000140070915,0.0032275859266519547,397.9181213378906,0.1405758410692215,0.17632238566875458,0.005802338011562824,0.004763131961226463,0.021278996020555496
radial,0.75,0.4655172556845678,0.005400000140070915,0.0033517242409288883,443.7092590332031,0.13347327709197998,0.16727489233016968,0.008431743830442429,0.00701996311545372,0.030650442466139793
radial,0.75,0.48275862354785204,0.005400000140070915,0.0034758620895445347,501.17315673828125,0.12444253265857697,0.15579435229301453,0.011793708428740501,0.009988821111619473,0.042392998933792114
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,570.8779907226562,0.11336297541856766,0.14174742996692657,0.01595100574195385,0.013791300356388092,0.05651674419641495
radial,0.75,0.5115740350447595,0.005400000140070915,0.0036833330523222685,624.759765625,0.10474995523691177,0.13086563348770142,0.019215861335396767,0.016902625560760498,0.06721891462802887
radial,0.75,0.5231481433535615,0.005400000140070915,0.0037666666321456432,685.1634521484375,0.09502443671226501,0.11861654371023178,0.02293754182755947,0.02056422270834446,0.07903176546096802
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,751.301513671875,0.08433660864830017,0.10520342737436295,0.02707216702401638,0.024767503142356873,0.09168016165494919
radial,0.75,0.5438930950024062,0.005400000140070915,0.0039160302840173244,805.36865234375,0.07578033953905106,0.09454283118247986,0.030455246567726135,0.028410769999027252,0.1012805700302124
radial,0.75,0.5531908633808295,0.005400000140070915,0.003982974216341972,862.194580078125,0.06694214046001434,0.08360439538955688,0.03401877358555794,0.032426007091999054,0.1107138991355896
