profile,x_over_d,r_over_d,x_m,y_m,temperature,mean-mixture-fraction,mixture-fraction-variance,ch4,o2,co2,h2o,co
radial,0.75,0.0,0.005400000140070915,0.0,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.062499998926392034,0.005400000140070915,0.00044999999227002263,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.12499999785278407,0.005400000140070915,0.0008999999845400453,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.18750000486357346,0.005400000140070915,0.0013500000350177288,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.24999999570556813,0.005400000140070915,0.0017999999690800905,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.31249998654756284,0.005400000140070915,0.0022499999031424522,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.3750000097271469,0.005400000140070915,0.0027000000700354576,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.437500032906731,0.005400000140070915,0.003150000236928463,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.5752314528864291,0.005400000140070915,0.0041416664607822895,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.6157407511232628,0.005400000140070915,0.004433333408087492,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.6562499846849177,0.005400000140070915,0.004724999889731407,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.6967592829217514,0.005400000140070915,0.00501666683703661,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.7372685164834063,0.005400000140070915,0.005308333318680525,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
radial,0.75,0.7777777500450611,0.005400000140070915,0.00559999980032444,293.3167419433594,,,8.890849032036783e-21,0.23247726261615753,0.0002802321396302432,0.00023533680359832942,4.821660695597529e-06
