metric,fine,medium,coarse,eps21,eps32,r21,r32,p,phi_ext,gci_fine_pct,AR,AR_ideal,note
"T@x/d=15,r/d=0",760.9225463867188,765.09375,785.6591796875,4.17120361328125,20.5654296875,1.4142697521962047,1.4135737606545855,4.611054388336795,759.8650425924912,0.17372066960840363,4.93033464538125,4.944386427784357,
"CO2@x/d=15,r/d=0",0.0311182513833045,0.0313901342451572,0.0328071191906929,0.0002718828618527014,0.0014169849455357014,1.4142697521962047,1.4135737606545855,4.771370042780618,0.031053929499146992,0.2583768419585069,5.211747941300488,5.2269107227472835,
"T@x/d=15,r/d=1",1591.0885386688942,1589.1204004268793,1588.7326103170242,-1.968138242014902,-0.38779010985513196,1.4142697521962047,1.4135737606545855,4.694729755873332,1591.5697592115093,0.03780592114453889,0.19703397941098272,5.0898882481599035,
"CO2@x/d=15,r/d=1",0.07291156771280023,0.07297442423168393,0.07296462762259658,6.285651888369992e-05,-9.796609087356356e-06,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"T@x/d=15,r/d=1.5",1779.6929595460851,1768.6682351591337,1765.1590253367347,-11.024724386951448,-3.5092098223990433,1.4142697521962047,1.4135737606545855,3.309559923972243,1784.8227289349713,0.36029876399260014,0.3183036327468145,3.1491656936541124,
"CO2@x/d=15,r/d=1.5",0.0886055067539716,0.08792998872695336,0.08764277955721521,-0.0006755180270182348,-0.0002872091697381507,1.4142697521962047,1.4135737606545855,2.473606402997503,0.08910331333637486,0.7022794076804677,0.42516877159578426,2.3569889408794973,
"T@x/d=15,r/d=2",1598.8199952755162,1589.8492697889094,1593.478901737524,-8.970725486606852,3.6296319486145876,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"CO2@x/d=15,r/d=2",0.08335575700947644,0.08258839993572689,0.08266747458966744,-0.0007673570737495444,7.907465394055291e-05,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"T@x/d=15,r/d=3",772.0333109730088,774.302732784285,789.4605824674323,2.2694218112761746,15.157849683147333,1.4142697521962047,1.4135737606545855,5.487871704326193,771.6351957697999,0.0644588772191815,6.679168062910063,6.700414837171342,
"CO2@x/d=15,r/d=3",0.02984420752699822,0.030006610706695625,0.031009457815618344,0.00016240317969740473,0.0010028471089227192,1.4142697521962047,1.4135737606545855,5.2612100499986285,0.029812940978620542,0.13095735725850144,6.175046023059764,6.194151197493219,
intT@x/d=15,4657.014578523927,4652.18482758595,4684.150893370948,-4.829750937977224,31.966065784998136,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
Tmax@x/d=15,1779.9932861328125,1768.710693359375,1765.219482421875,-11.2825927734375,-3.4912109375,1.4142697521962047,1.4135737606545855,3.391179464769143,1785.0312170038708,0.3537886147034092,0.30943339067588477,3.2395290968070074,
"T@x/d=30,r/d=0",1945.618408203125,1952.373046875,1927.3990478515625,6.754638671875,-24.9739990234375,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=0",0.0830970332026481,0.0864361450076103,0.0914406180381774,0.0033391118049622,0.0050044730305671,1.4142697521962047,1.4135737606545855,1.1723624634455039,0.07643662758188835,10.019018375356815,1.4987437746558931,1.5013376054086804,
"T@x/d=30,r/d=1",2003.1092280637083,1990.481868574298,1933.6261156867167,-12.62735948941031,-56.855752887581275,1.4142697521962047,1.4135737606545855,4.348944683557518,2006.7016629262637,0.22417866760740582,4.502584482152603,4.5149863456196995,
"CO2@x/d=30,r/d=1",0.09625742440319768,0.09697745377087424,0.09621912755514468,0.0007200293676765668,-0.0007583262157295628,1.4142697521962047,1.4135737606545855,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=1.5",2019.9221343942634,1988.185310664315,1902.4413316646192,-31.736823729948355,-85.74397899969586,1.4142697521962047,1.4135737606545855,2.87390041206984,2038.505716528537,1.15001847211343,2.701718978852437,2.7077882778808533,
"CO2@x/d=30,r/d=1.5",0.1057373542608312,0.10386261463044294,0.09840576507677085,-0.0018747396303882558,-0.005456849553672094,1.4142697521962047,1.4135737606545855,3.089080165042839,0.10671507018744632,1.1558308005836129,2.910723956127171,2.917468642327085,
"T@x/d=30,r/d=2",1939.8663980646538,1902.7512363335422,1816.7372514166884,-37.115161731111584,-86.01398491685381,1.4142697521962047,1.4135737606545855,2.430912856124581,1967.933622323737,1.8085797227508305,2.3174891582043964,2.3223666647085706,
"CO2@x/d=30,r/d=2",0.10664707438425385,0.10347788873399098,0.09639470052384,-0.0031691856502628624,-0.007083188210150984,1.4142697521962047,1.4135737606545855,2.326278815099569,0.10920359259925666,2.9964701677980137,2.235018390154418,2.239649157070202,
"T@x/d=30,r/d=3",1525.3163073310354,1506.7749653663793,1467.8450714493667,-18.541341964656112,-38.92989391701258,1.4142697521962047,1.4135737606545855,2.1458310128787637,1542.1131355755551,1.3765036933479087,2.099626552987456,2.1038597105799175,
"CO2@x/d=30,r/d=3",0.08179258214139289,0.08007210887978503,0.07665672576192716,-0.0017204732616078605,-0.0034153831178578703,1.4142697521962047,1.4135737606545855,1.9839260489004416,0.08353210994488683,2.6584437090010993,1.9851416433325093,1.989046141229936,
intT@x/d=30,7474.1718921718275,7406.5394995286515,7187.935531032301,-67.63239264317599,-218.60396849635072,1.4142697521962047,1.4135737606545855,3.3916480356406735,7504.36417948756,0.5049436872624455,3.232237688967929,3.2400552808708247,
Tmax@x/d=30,2024.11962890625,1997.8154296875,1933.741455078125,-26.30419921875,-64.073974609375,1.4142697521962047,1.4135737606545855,2.5747928752905107,2042.3722201070611,1.1271932090961634,2.435883870728221,2.4411213689802733,
"T@x/d=45,r/d=0",1850.356689453125,1843.64697265625,1823.1727294921875,-6.709716796875,-20.4742431640625,1.4142697521962047,1.4135737606545855,3.22541193127355,1853.6159835027197,0.22018011906653276,3.051431794200051,3.058641133563648,
"CO2@x/d=45,r/d=0",0.1092649921774864,0.1086873114109039,0.1069695875048637,-0.0005776807665825029,-0.0017177239060402055,1.4142697521962047,1.4135737606545855,3.150683569687966,0.10955668621651328,0.3337002470025503,2.9734829431869003,2.9804339111958527,
"T@x/d=45,r/d=1",1817.912924626545,1812.2984631127747,1788.4946936655494,-5.614461513770266,-23.80376944722525,1.4142697521962047,1.4135737606545855,4.175218888325734,1819.6398470638742,0.11874347871226618,4.239724395446138,4.251137047274407,
"CO2@x/d=45,r/d=1",0.10652313580479311,0.10605474958226328,0.10406070781634326,-0.0004683862225298291,-0.001994041765920024,1.4142697521962047,1.4135737606545855,4.1871390032200875,0.10666642849706257,0.1681473831798004,4.257259650272983,4.268737680279159,
"T@x/d=45,r/d=1.5",1773.021430313477,1768.0350195270833,1742.4783405377452,-4.986410786393662,-25.556678989338025,1.4142697521962047,1.4135737606545855,4.723042836518299,1774.2258527099473,0.08491313019954809,5.125265463301603,5.140084741870125,
"CO2@x/d=45,r/d=1.5",0.10278157566970313,0.10236098117885674,0.10018954921385179,-0.00042059449084638767,-0.0021714319650049524,1.4142697521962047,1.4135737606545855,4.744099204381564,0.10288225087863605,0.12243829727865568,5.162768443864419,5.177736458700623,
"T@x/d=45,r/d=2",1711.4551140602034,1705.0852712219796,1678.0956767277664,-6.3698428382238035,-26.98959449421318,1.4142697521962047,1.4135737606545855,4.173423511347382,1713.4159753125082,0.1432159421093945,4.237089545169859,4.248492380956263,
"CO2@x/d=45,r/d=2",0.09767701057026078,0.09715468536673377,0.09488451193254106,-0.0005223252035270048,-0.00227017343419271,1.4142697521962047,1.4135737606545855,4.246908321620983,0.09783255269376823,0.19905160205988115,4.346283539188511,4.358094847547913,
"T@x/d=45,r/d=3",1499.5409289441611,1490.9827823133107,1469.3604827009003,-8.558146630850388,-21.622299612410416,1.4142697521962047,1.4135737606545855,2.680286434244884,1505.1270620840116,0.4656536070495757,2.5265166098541005,2.532034131051759,
