x_over_d,G1_Tmax,G2_Tmax,G1_Taxis,G2_Taxis
1,2171.761962890625,2173.183349609375,294.13018798828125,294.1280517578125
3,2171.837890625,2173.0625,305.4222106933594,305.173828125
15,2201.6025390625,2207.824951171875,842.0980224609375,714.114501953125
30,2205.449951171875,2216.5009765625,1796.3480224609375,1672.148193359375
45,2207.9267578125,2229.8232421875,2144.6376953125,1784.4320068359375
60,2202.701171875,2225.353515625,2007.4659423828125,1967.13525390625
