profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o
radial,0.75,0.0,0.005400000140070915,0.0,294.28125,0.15634408593177795,0.19644930958747864,3.6153207474853843e-05,3.0021254133316688e-05
radial,0.75,0.062499998926392034,0.005400000140070915,0.00044999999227002263,294.3855285644531,0.15633627772331238,0.19643378257751465,4.721821460407227e-05,3.920124436262995e-05
radial,0.75,0.12499999785278407,0.005400000140070915,0.0008999999845400453,294.78857421875,0.15630757808685303,0.196376234292984,8.817620982881635e-05,7.31740437913686e-05
radial,0.75,0.18750000486357346,0.005400000140070915,0.0013500000350177288,295.8468017578125,0.15623839199543,0.19623541831970215,0.0001883092918433249,0.00015618624456692487
radial,0.75,0.24999999570556813,0.005400000140070915,0.0017999999690800905,298.51580810546875,0.15608111023902893,0.19590716063976288,0.0004213046922814101,0.0003491873503662646
radial,0.75,0.31249998654756284,0.005400000140070915,0.0022499999031424522,305.6009521484375,0.155708447098732,0.19510076940059662,0.0009922671597450972,0.0008216214482672513
radial,0.75,0.3750000097271469,0.005400000140070915,0.0027000000700354576,328.32830810546875,0.15464606881141663,0.19268694519996643,0.0026958356611430645,0.002229282632470131
radial,0.75,0.437500032906731,0.005400000140070915,0.003150000236928463,418.30523681640625,0.15076853334903717,0.18337513506412506,0.009243549779057503,0.00763272400945425
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,681.736083984375,0.13903826475143433,0.15467283129692078,0.029388850554823875,0.02426241524517536
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,957.762939453125,0.12553229928016663,0.12274985760450363,0.05182778462767601,0.042814742773771286
radial,0.75,0.5752314528864291,0.005400000140070915,0.0041416664607822895,1348.296142578125,0.10305368900299072,0.07661237567663193,0.08457798510789871,0.07001655548810959
radial,0.75,0.6157407511232628,0.005400000140070915,0.004433333408087492,1671.076904296875,0.07885237038135529,0.0409911572933197,0.11058518290519714,0.09187236428260803
radial,0.75,0.6562499846849177,0.005400000140070915,0.004724999889731407,1884.491455078125,0.056712448596954346,0.022182265296578407,0.12528029084205627,0.1045486107468605
radial,0.75,0.6967592829217514,0.005400000140070915,0.00501666683703661,2017.1419677734375,0.038322992622852325,0.01462243776768446,0.13218915462493896,0.1108127310872078
radial,0.75,0.7372685164834063,0.005400000140070915,0.005308333318680525,2089.71484375,0.02425607666373253,0.013688885606825352,0.13423408567905426,0.11298289895057678
radial,0.75,0.7777777500450611,0.005400000140070915,0.00559999980032444,2111.6357421875,0.014316508546471596,0.017370909452438354,0.13280656933784485,0.11220086365938187
radial,0.75,0.8182870482818948,0.005400000140070915,0.0058916667476296425,2085.60009765625,0.008062884211540222,0.02519041858613491,0.12836380302906036,0.10886340588331223
radial,0.75,0.8587962818435497,0.005400000140070915,0.006183333229273558,2022.821533203125,0.004756269045174122,0.03583139553666115,0.12180864810943604,0.1037149652838707
radial,0.75,0.8993055800803834,0.005400000140070915,0.00647500017657876,1951.12744140625,0.003186317626386881,0.046431105583906174,0.11515090614557266,0.09842059761285782
radial,0.75,0.9398148136420382,0.005400000140070915,0.006766666658222675,1888.916015625,0.0023623525630682707,0.05528131127357483,0.10960545390844345,0.09399580210447311
radial,0.75,0.9803240472036931,0.005400000140070915,0.0070583331398665905,1834.0614013671875,0.001842732890509069,0.06294294446706772,0.1048441007733345,0.0901925340294838
radial,0.75,1.0208333454405267,0.005400000140070915,0.007350000087171793,1777.18359375,0.0014327778480947018,0.07075153291225433,0.10002803802490234,0.08634361624717712
radial,0.75,1.0613425790021818,0.005400000140070915,0.007641666568815708,1712.1688232421875,0.0010760787408798933,0.07949919998645782,0.09466101229190826,0.08205251395702362
radial,0.75,1.1018518772390153,0.005400000140070915,0.00793333351612091,1637.7879638671875,0.0007778563885949552,0.08927318453788757,0.08868850767612457,0.07727526873350143
radial,0.75,1.1423611754758491,0.005400000140070915,0.008225000463426113,1551.805419921875,0.0005402076640166342,0.10028122365474701,0.08198442310094833,0.07191077619791031
radial,0.75,1.1828703443623252,0.005400000140070915,0.008516666479408741,1450.63330078125,0.0003583443467505276,0.11286281049251556,0.07434193789958954,0.0657934620976448
radial,0.75,1.2233796425991588,0.005400000140070915,0.008808333426713943,1334.3515625,0.00022772577358409762,0.12684178352355957,0.06586597859859467,0.0590074397623539
radial,0.75,1.2638889408359926,0.005400000140070915,0.009100000374019146,1209.5517578125,0.00014120785635896027,0.14126992225646973,0.05712778493762016,0.05201037973165512
radial,0.75,1.3124999693698354,0.005400000140070915,0.009449999779462814,1061.22412109375,7.886499224696308e-05,0.15771207213401794,0.047177329659461975,0.044041793793439865
radial,0.75,1.3518518406069941,0.005400000140070915,0.009733333252370358,948.927734375,4.985556734027341e-05,0.16967566311359406,0.039940591901540756,0.03824605792760849
radial,0.75,1.391203711844153,0.005400000140070915,0.0100166667252779,847.4266357421875,3.207672853022814e-05,0.18013019859790802,0.03361823782324791,0.03318245708942413
radial,0.75,1.4305555830813117,0.005400000140070915,0.010300000198185444,757.972412109375,2.1027064576628618e-05,0.18908876180648804,0.02820143848657608,0.02884402498602867
radial,0.75,1.4699074543184705,0.005400000140070915,0.010583333671092987,680.5507202148438,1.4031365935807116e-05,0.19667595624923706,0.023614291101694107,0.02517002448439598
radial,0.75,1.5092591962052717,0.005400000140070915,0.010866666212677956,614.4857788085938,9.513329132460058e-06,0.20305702090263367,0.01975662261247635,0.022080257534980774
radial,0.75,1.5486110674424305,0.005400000140070915,0.011149999685585499,558.8793334960938,6.548723831656389e-06,0.20838655531406403,0.01653478480875492,0.019499734044075012
radial,0.75,1.5879629386795893,0.005400000140070915,0.011433333158493042,512.6097412109375,4.582036126521416e-06,0.21281282603740692,0.013859059661626816,0.01735660433769226
radial,0.75,1.627314809916748,0.005400000140070915,0.011716666631400585,473.83697509765625,3.2486268537468277e-06,0.21653521060943604,0.011608869768679142,0.015554300509393215
radial,0.75,1.6666666811539068,0.005400000140070915,0.012000000104308128,441.0229187011719,2.326972435184871e-06,0.2197100967168808,0.009689669124782085,0.014017097651958466
radial,0.75,1.746031792006559,0.005400000140070915,0.012571428902447224,390.38543701171875,1.2023992894683033e-06,0.22469313442707062,0.006677485536783934,0.011604450643062592
radial,0.75,1.8253967735088534,0.005400000140070915,0.013142856769263744,356.46112060546875,6.527799882860563e-07,0.22813919186592102,0.0045943912118673325,0.009935962967574596
radial,0.75,1.9047618843615055,0.005400000140070915,0.01371428556740284,334.1393737792969,3.777146275751875e-07,0.2304912656545639,0.0031726297456771135,0.008797177113592625
radial,0.75,1.9841269952141576,0.005400000140070915,0.014285714365541935,319.9501953125,2.383778223702393e-07,0.23204433917999268,0.0022338498383760452,0.008045244961977005
radial,0.75,2.0634921060668097,0.005400000140070915,0.01485714316368103,310.7863464355469,1.619658434037774e-07,0.2330876588821411,0.0016032278072088957,0.00754013704136014
radial,0.75,2.142857087569104,0.005400000140070915,0.015428571030497551,304.0865478515625,1.0982443399143449e-07,0.23388758301734924,0.0011197265703231096,0.007152867969125509
radial,0.75,2.2222223277721143,0.005400000140070915,0.01600000075995922,298.8712158203125,6.916688022329254e-08,0.2345498502254486,0.000719404430128634,0.006832222454249859
radial,0.75,2.301587309274409,0.005400000140070915,0.01657142862677574,295.03936767578125,3.790341551734855e-08,0.23507964611053467,0.0003991660487372428,0.006575720850378275
radial,0.75,2.3809522907767033,0.005400000140070915,0.017142856493592262,292.55999755859375,1.5734437752712438e-08,0.235463947057724,0.00016687196330167353,0.006389659829437733
radial,0.75,2.460317530979713,0.005400000140070915,0.017714286223053932,291.37286376953125,3.946094118134624e-09,0.23567040264606476,4.207082747598179e-05,0.006289697717875242
radial,0.75,2.5396825124820075,0.005400000140070915,0.018285714089870453,291.0469055175781,4.723464397393684e-10,0.2357316017150879,5.071256964583881e-06,0.006260062102228403
radial,0.75,2.619047493984302,0.005400000140070915,0.018857141956686974,291.0038146972656,3.2227290280850696e-11,0.23573940992355347,3.542122612998355e-07,0.006256283726543188
radial,0.75,2.6984129928880267,0.005400000140070915,0.019428573548793793,291.000244140625,1.4067761712477367e-12,0.23573997616767883,2.0625357421977242e-08,0.0062560164369642735
radial,0.75,2.777777715689606,0.005400000140070915,0.019999999552965164,291.0000305175781,4.003395854298812e-14,0.23573999106884003,1.5328671665315596e-09,0.00625600153580308
radial,0.75,2.941176450500886,0.005400000140070915,0.021176470443606377,291.0,9.650697677810453e-17,0.23574000597000122,2.8923100026112536e-11,0.006256000138819218
radial,0.75,3.1045751853121653,0.005400000140070915,0.02235294133424759,291.0,4.3241156034423915e-18,0.23574000597000122,3.8652281787558695e-13,0.006256000138819218
radial,0.75,3.2679739201234446,0.005400000140070915,0.0235294122248888,291.0,4.021924295197808e-19,0.23574000597000122,1.4798622735763024e-15,0.006256000138819218
radial,0.75,3.4313726549347243,0.005400000140070915,0.024705883115530014,291.0,1.8425187065737854e-19,0.23574000597000122,8.127708781281702e-18,0.006256000138819218
radial,0.75,3.5947711310452886,0.005400000140070915,0.025882352143526077,291.0,2.4752927466251863e-19,0.23574000597000122,2.397591285369012e-21,0.006256000138819218
radial,0.75,3.7581698658565683,0.005400000140070915,0.02705882303416729,291.0,3.5990843002153615e-19,0.23574000597000122,3.51681572761245e-21,0.006256000138819218
radial,0.75,3.9215686006678476,0.005400000140070915,0.028235293924808502,291.0,4.770370238132859e-19,0.23574000597000122,5.1488281319985854e-21,0.006256000138819218
radial,0.75,4.084967335479127,0.005400000140070915,0.029411764815449715,291.0,6.704232173305402e-19,0.23574000597000122,7.197430987968873e-21,0.006256000138819218
radial,0.75,4.248366070290406,0.005400000140070915,0.030588235706090927,291.0,9.764729612411655e-19,0.23574000597000122,1.00091697552272e-20,0.006256000138819218
radial,0.75,4.411764546400971,0.005400000140070915,0.03176470473408699,291.0,1.4246953552113198e-18,0.23574000597000122,1.403320471808021e-20,0.006256000138819218
radial,0.75,4.575163539912966,0.005400000140070915,0.03294117748737335,291.0,2.002533952638813e-18,0.23574000597000122,1.9001899327514386e-20,0.006256000138819218
radial,0.75,4.73856201602353,0.005400000140070915,0.034117646515369415,291.0,2.603943268416158e-18,0.23574000597000122,2.54545801896757e-20,0.006256000138819218
radial,0.75,4.901961009535524,0.005400000140070915,0.03529411926865578,291.0,2.880505315958975e-18,0.23574000597000122,3.4946930083119184e-20,0.006256000138819218
radial,0.75,5.065359485646089,0.005400000140070915,0.03647058829665184,291.0,2.3805013122454244e-18,0.23574000597000122,4.7642087765451044e-20,0.006256000138819218
radial,0.75,5.228757961756654,0.005400000140070915,0.0376470573246479,291.0,1.5162348841091943e-18,0.23574000597000122,6.315174363786592e-20,0.006256000138819218
radial,0.75,5.392156955268648,0.005400000140070915,0.038823530077934265,291.0,7.471476829636486e-19,0.23574000597000122,8.361252784080816e-20,0.006256000138819218
radial,0.75,5.555555431379212,0.005400000140070915,0.03999999910593033,291.0,2.8204651349798493e-19,0.23574000597000122,1.118782845734196e-19,0.006256000138819218
radial,0.75,6.166666539178954,0.005400000140070915,0.04439999908208847,291.0,9.685297041463579e-21,0.23574000597000122,2.93370822878989e-19,0.006256000138819218
radial,0.75,6.777777646978697,0.005400000140070915,0.04879999905824661,291.0,2.0486184059964513e-21,0.23574000597000122,6.901421691580387e-19,0.006256000138819218
radial,0.75,7.3888887547784385,0.005400000140070915,0.053199999034404755,291.0,5.383658972568065e-21,0.23574000597000122,1.5573212553274329e-18,0.006256000138819218
radial,0.75,7.99999986257818,0.005400000140070915,0.0575999990105629,291.0,1.5732991406629925e-20,0.23574000597000122,3.259229132235766e-18,0.006256000138819218
radial,0.75,8.611110970377922,0.005400000140070915,0.06199999898672104,291.0,4.3432494542334795e-20,0.23574000597000122,6.771259548918763e-18,0.006256000138819218
radial,0.75,9.222222078177664,0.005400000140070915,0.06639999896287918,291.0,1.1399338539971768e-19,0.23574000597000122,1.3202554483523132e-17,0.006256000138819218
radial,0.75,9.833333185977406,0.005400000140070915,0.07079999893903732,291.0,2.8325848819173997e-19,0.23574000597000122,2.527565670633166e-17,0.006256000138819218
radial,0.75,10.444444293777147,0.005400000140070915,0.07519999891519547,291.0,6.605474562984813e-19,0.23574000597000122,4.5478588601512474e-17,0.006256000138819218
radial,0.75,11.05555540157689,0.005400000140070915,0.07959999889135361,291.0,1.4595757004863027e-18,0.23574000597000122,8.0341300040197e-17,0.006256000138819218
radial,0.75,11.666666509376633,0.005400000140070915,0.08399999886751175,291.0,3.0917351911562817e-18,0.23574000597000122,1.3523802151245044e-16,0.006256000138819218
radial,0.75,12.277777617176374,0.005400000140070915,0.08839999884366989,291.0,6.296575750550614e-18,0.23574000597000122,2.156970723672056e-16,0.006256000138819218
radial,0.75,12.888887690173256,0.005400000140070915,0.09279999136924744,291.0,1.2364238365563916e-17,0.23574000597000122,3.387844856606319e-16,0.006256000138819218
radial,0.75,13.499999832775858,0.005400000140070915,0.09719999879598618,291.0,2.360070364705671e-17,0.23574000597000122,5.036439904923941e-16,0.006256000138819218
radial,0.75,14.1111109405756,0.005400000140070915,0.10159999877214432,291.0,4.351901096526415e-17,0.23574000597000122,7.145060664477741e-16,0.006256000138819218
radial,0.75,14.722222048375341,0.005400000140070915,0.10599999874830246,291.0,7.829496770130412e-17,0.23574000597000122,1.0029231143284683e-15,0.006256000138819218
radial,0.75,15.333333156175083,0.005400000140070915,0.1103999987244606,291.0,1.3656312514909099e-16,0.23574000597000122,1.352093812109214e-15,0.006256000138819218
radial,0.75,15.944444263974827,0.005400000140070915,0.11479999870061874,291.0,2.3207508967707793e-16,0.23574000597000122,1.7147732030910082e-15,0.006256000138819218
radial,0.75,16.555555371774567,0.005400000140070915,0.11919999867677689,291.0,3.8177815752758607e-16,0.23574000597000122,2.0716520065708864e-15,0.006256000138819218
radial,0.75,17.16666647957431,0.005400000140070915,0.12359999865293503,291.0,6.055360718768964e-16,0.23574000597000122,2.4352641925858443e-15,0.006256000138819218
radial,0.75,17.777778622176914,0.005400000140070915,0.12800000607967377,291.0,9.204365048260028e-16,0.23574000597000122,2.793843732344691e-15,0.006256000138819218
radial,0.75,18.388889729976654,0.005400000140070915,0.1324000060558319,291.0,1.331060501721232e-15,0.23574000597000122,3.1132907734568623e-15,0.006256000138819218
radial,0.75,19.000000837776398,0.005400000140070915,0.13680000603199005,291.0,1.831726112612843e-15,0.23574000597000122,3.365100963181357e-15,0.006256000138819218
radial,0.75,19.611111945576138,0.005400000140070915,0.1412000060081482,291.0,2.3943069732125467e-15,0.23574000597000122,3.560246766316907e-15,0.006256000138819218
