profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,T_std
radial,0.75,1.9757498780058491,0.005400000140070915,0.014225399121642113,323.2747573852539,5.283788766519137e-07,0.23165015876293182,0.002546969772083685,0.008203543839044869,8.214862532440748e-06,1.9980412229655422
radial,0.75,1.9971355019758146,0.005400000140070915,0.014379375614225864,320.48519134521484,4.823342294457689e-07,0.23195886053144932,0.002354111638851464,0.008055861108005047,7.518879101553466e-06,1.8870405879868866
radial,0.75,2.0188002640174494,0.005400000140070915,0.014535361900925636,317.96294021606445,4.4160048418007136e-07,0.23224050551652908,0.002178222464863211,0.007921132317278534,6.89048926005853e-06,1.777291149297523
radial,0.75,2.0407475272400513,0.005400000140070915,0.014693382196128368,315.6185607910156,4.043589285629423e-07,0.23250488750636578,0.002013154939049855,0.0077946672099642456,6.308108311259275e-06,1.667325878657042
radial,0.75,2.062980913453632,0.005400000140070915,0.01485346257686615,313.37509536743164,3.691059120569662e-07,0.23276069201529026,0.001853456036769785,0.007672300038393587,5.753465131874691e-06,1.5505293401186155
radial,0.75,2.085504173818562,0.005400000140070915,0.015015630051493645,311.18590927124023,3.3492733209072867e-07,0.23301346600055695,0.001695661703706719,0.007551382412202656,5.215302564920421e-06,1.4213856809152252
radial,0.75,2.1083214475462833,0.005400000140070915,0.01517991442233324,309.0431098937988,3.015826131047561e-07,0.23326442390680313,0.0015390175831271335,0.007431345467921346,4.691006154189381e-06,1.2804829758202316
radial,0.75,2.1314359683957367,0.005400000140070915,0.015346338972449303,306.9682922363281,2.6932517194211414e-07,0.23351128585636616,0.0013849475799361244,0.007313288864679635,4.184414024166472e-06,1.1338862054897754
radial,0.75,2.1548522636294365,0.005400000140070915,0.015514936298131943,304.9912757873535,2.385491093548353e-07,0.23375066183507442,0.001235585834365338,0.007198855164460838,3.7011818960763776e-06,0.9880212260381261
radial,0.75,2.1785738257070384,0.005400000140070915,0.015685731545090675,303.1331787109375,2.095190598794261e-07,0.23398000188171864,0.0010925324313575402,0.007089279941283166,3.2451538061195606e-06,0.8463639336872184
radial,0.75,2.2026045351392693,0.005400000140070915,0.01585875265300274,301.4030418395996,1.8231391685219478e-07,0.23419809713959694,0.000956540388870053,0.006985149753745645,2.8176102659926983e-06,0.709853927117574
radial,0.75,2.226948789838288,0.005400000140070915,0.01603403128683567,299.80223083496094,1.5689582966160742e-07,0.23440466448664665,0.0008277943925349973,0.006886613147798926,2.4182370736980374e-06,0.5789667253174462
