profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,T_std
radial,0.75,1.7313483274645276,0.005400000140070915,0.012465707957744598,406.88986587524414,3.311554280571727e-06,0.2202120739966631,0.0078308085212484,0.012153516174294055,3.554517343218322e-05,10.153829501867696
radial,0.75,1.7448658278832834,0.005400000140070915,0.01256303396075964,399.9853858947754,3.0713198668763653e-06,0.22084910236299038,0.0074034653953276575,0.011825664550997317,3.298095521131472e-05,10.805248853721743
radial,0.75,1.7585137134624853,0.005400000140070915,0.012661298736929893,393.4846649169922,2.8552095443501457e-06,0.22145182266831398,0.006999069708399475,0.011515554855577648,3.063988219764724e-05,11.49902620092792
radial,0.75,1.7722935364064243,0.005400000140070915,0.012760513462126255,387.3589553833008,2.6601092031341977e-06,0.22202274948358536,0.006615922495257109,0.011221854365430772,2.8498210667748936e-05,12.230225330544181
radial,0.75,1.786206460868319,0.005400000140070915,0.012860686518251896,381.58707427978516,2.4838141996497143e-06,0.222563736140728,0.0062528345733881,0.010943636298179626,2.65372243575257e-05,12.990394626558972
radial,0.75,1.8002537803517449,0.005400000140070915,0.012961827218532562,376.15562438964844,2.3245919322789632e-06,0.22307583317160606,0.0059091238072142005,0.010680363629944623,2.4742166488067596e-05,13.769244440157333
radial,0.75,1.8144367883602779,0.005400000140070915,0.013063944876194,371.0527648925781,2.180933705631105e-06,0.22355986572802067,0.005584222555626184,0.010431584902107716,2.3099900090528536e-05,14.556713449969555
radial,0.75,1.8287567783974938,0.005400000140070915,0.013167048804461956,366.26777267456055,2.0514534639914928e-06,0.22401653975248337,0.005277635296806693,0.01019690406974405,2.1598404373435187e-05,15.343254446188258
radial,0.75,1.843215043966969,0.005400000140070915,0.013271148316562176,361.7908401489258,1.934893589350395e-06,0.22444641031324863,0.004988938977476209,0.009975982131436467,2.022671583290503e-05,16.11979316700871
radial,0.75,1.8578131372729938,0.005400000140070915,0.013376254588365555,357.6117744445801,1.8300775082025211e-06,0.22485008463263512,0.004717689589597285,0.009768467163667083,1.8974400745719322e-05,16.877744767702623
radial,0.75,1.8725520931184292,0.005400000140070915,0.01348237507045269,353.7195854187012,1.7359017618900907e-06,0.22522824071347713,0.0044634016521740705,0.009573974646627903,1.78315117409511e-05,17.60924073500763
radial,0.75,1.8874334637075663,0.005400000140070915,0.013589520938694477,350.10387802124023,1.6513651885929903e-06,0.2255814801901579,0.004225623357342556,0.009392146370373666,1.678900252954918e-05,18.307524901557965
radial,0.75,1.9024584131936233,0.005400000140070915,0.013697700574994087,346.7550811767578,1.5755739184442064e-06,0.22591033019125462,0.004003959766123444,0.009222669759765267,1.5838827494008e-05,18.967030146381283
radial,0.75,1.9176287524816062,0.005400000140070915,0.013806927017867565,343.6630172729492,1.5076957211590525e-06,0.22621537931263447,0.0037979712651576847,0.0090651965001598,1.4973444649513112e-05,19.58338445427988
radial,0.75,1.932945516374376,0.005400000140070915,0.013917207717895508,340.8151168823242,1.4469178779563663e-06,0.22649751789867878,0.003607050923164934,0.008919254411011934,1.4185340205585817e-05,20.153592116025354
radial,0.75,1.9484102570762238,0.005400000140070915,0.01402855385094881,338.1963348388672,1.3924487376471006e-06,0.22675788402557373,0.0034304053406231105,0.008784229285083711,1.3467069038597401e-05,20.676623283514857
radial,0.75,1.964024268090725,0.005400000140070915,0.01414097473025322,335.7896194458008,1.3435306698283966e-06,0.22699794359505177,0.003267074760515243,0.008659379789605737,1.2811449437322153e-05,21.1537776613547
radial,0.75,1.979789360322886,0.005400000140070915,0.01425448339432478,333.57484436035156,1.2994180877967665e-06,0.2272194940596819,0.003115864237770438,0.008543786476366222,1.221126683503826e-05,21.588726989796935
radial,0.75,1.9957065685755677,0.005400000140070915,0.014369087293744087,331.5277557373047,1.259344614368274e-06,0.22742488607764244,0.002975250914460048,0.008436281117610633,1.1658870221253892e-05,21.987293854600008
radial,0.75,2.011777445053061,0.005400000140070915,0.014484797604382038,329.62039947509766,1.2225332426396562e-06,0.22761695459485054,0.0028434143750928342,0.008335471036843956,1.1146237625325739e-05,22.356924208119505
radial,0.75,2.0280036713100142,0.005400000140070915,0.014601626433432102,327.8230667114258,1.1882370252180863e-06,0.2277988214045763,0.002718363219173625,0.008239835617132485,1.0665379306828981e-05,22.706178170308817
radial,0.75,2.0443866702003612,0.005400000140070915,0.0147195840254426,326.1066093444824,1.1557583867727317e-06,0.22797364369034767,0.00259808189002797,0.008147836197167635,1.0208750722995319e-05,23.044077285994685
radial,0.75,2.0609278645780353,0.005400000140070915,0.014838680624961853,324.44474029541016,1.124495572213391e-06,0.2281443551182747,0.002480704482877627,0.008058049308601767,9.769695282102475e-06,23.378926642606153
radial,0.75,2.0776288066473274,0.005400000140070915,0.014958927407860756,322.8175735473633,1.0940040411355767e-06,0.2283132467418909,0.002364759740885347,0.007969352358486503,9.343097246983234e-06,23.716890292345493
