profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,n2
radial,0.75,6.000000155634351,0.005400000140070915,0.04320000112056732,291.0,4.500381838024037e-12,0.23574000597000122,2.4877128135258886e-11,0.006256000138819218,9.221091772093626e-13,0.7580040693283081
radial,0.75,5.555555431379212,0.005400000140070915,0.03999999910593033,291.0,5.647706260991647e-12,0.23574000597000122,3.5469894382744727e-11,0.006256000138819218,1.3147464887619531e-12,0.7580040693283081
radial,0.75,4.1666665735344095,0.005400000140070915,0.029999999329447746,291.0,1.2683642330868494e-11,0.23574000597000122,1.272096594728822e-10,0.006256000138819218,4.715327520804502e-12,0.7580040693283081
radial,0.75,3.842592963741885,0.005400000140070915,0.027666669338941574,291.0,1.3727848718891877e-11,0.23574000597000122,1.4528142577852066e-10,0.006256000138819218,5.385194894180767e-12,0.7580040693283081
radial,0.75,3.518518577847216,0.005400000140070915,0.025333333760499954,291.0,1.1756050993794176e-11,0.23574000597000122,1.2503126312068957e-10,0.006256000138819218,4.634415247395385e-12,0.7580040693283081
radial,0.75,3.1944444506532617,0.005400000140070915,0.023000000044703484,291.0,8.043803470525468e-12,0.23574000597000122,7.877547919532546e-11,0.006256000138819218,2.9187160500987464e-12,0.7580040693283081
radial,0.75,2.8703703234593076,0.005400000140070915,0.020666666328907013,291.0,5.019204669942656e-12,0.23574000597000122,4.6316877416741065e-11,0.006256000138819218,1.7049574642727383e-12,0.7580040693283081
radial,0.75,2.546296196265353,0.005400000140070915,0.018333332613110542,291.0,2.86174252697724e-12,0.23574000597000122,9.539103534850213e-11,0.006256000138819218,2.9424355747070807e-12,0.7580040693283081
radial,0.75,2.2222223277721143,0.005400000140070915,0.01600000075995922,291.0,1.5955416241691944e-12,0.23574000597000122,1.7823225118007713e-09,0.006256002001464367,6.647386807667743e-11,0.7580040693283081
radial,0.75,2.0833332867672048,0.005400000140070915,0.014999999664723873,291.0,1.2430714010219779e-12,0.23573996126651764,2.0489224539232964e-08,0.006256016902625561,7.605054364034913e-10,0.7580040693283081
radial,0.75,1.9444445044630103,0.005400000140070915,0.014000000432133675,291.0,6.87504198536304e-13,0.2357393205165863,4.0441739201924065e-07,0.006256324239075184,1.4990945373938303e-08,0.7580039501190186
radial,0.75,1.8055555928084586,0.005400000140070915,0.013000000268220901,291.0,2.0920612464614408e-11,0.23572339117527008,1.003466695692623e-05,0.006264036986976862,3.719602830187796e-07,0.7580021619796753
radial,0.75,1.6666666811539068,0.005400000140070915,0.012000000104308128,290.9999694824219,7.40105310370609e-10,0.23526069521903992,0.00028957214090041816,0.006487932521849871,1.0733685485320166e-05,0.757951021194458
radial,0.75,1.5277777694993548,0.005400000140070915,0.010999999940395355,290.9998779296875,1.538914240484246e-08,0.2272174060344696,0.005148997530341148,0.010380075313150883,0.0001908599369926378,0.7570626735687256
radial,0.75,1.388888857844803,0.005400000140070915,0.009999999776482582,290.9997253417969,9.475245121848275e-08,0.19434623420238495,0.02500840462744236,0.026286404579877853,0.000926996348425746,0.7534319162368774
radial,0.75,1.2499999461902513,0.005400000140070915,0.008999999612569809,290.9997863769531,5.625065568892751e-07,0.12189870327711105,0.06877819448709488,0.06134367734193802,0.0025494284927845,0.745429515838623
radial,0.75,1.1111111638860571,0.005400000140070915,0.00800000037997961,290.99993896484375,4.976554919267073e-06,0.06442000716924667,0.10350371897220612,0.08915679156780243,0.003836613381281495,0.7390779256820679
radial,0.75,1.0416666433836024,0.005400000140070915,0.007499999832361937,290.9999694824219,1.191167211800348e-05,0.05789156258106232,0.10744684934616089,0.09231473505496979,0.003982774913311005,0.7383521795272827
radial,0.75,0.9722222522315052,0.005400000140070915,0.007000000216066837,290.9999694824219,2.9565746444859542e-05,0.055884864181280136,0.10865664482116699,0.09328301250934601,0.0040276190266013145,0.7381182909011841
radial,0.75,0.9027777964042293,0.005400000140070915,0.006500000134110451,290.9999694824219,7.886349339969456e-05,0.05495108664035797,0.10921366512775421,0.0937272235751152,0.00404826644808054,0.7379809021949768
radial,0.75,0.8333333405769534,0.005400000140070915,0.006000000052154064,291.0,0.0002235069259768352,0.05458439514040947,0.10941311717033386,0.09388094395399094,0.004055659286677837,0.7378423810005188
radial,0.75,0.7638888847496774,0.005400000140070915,0.005499999970197678,291.0,0.0006771881598979235,0.0547749325633049,0.10922888666391373,0.09371517598628998,0.004048830363899469,0.7375550270080566
radial,0.75,0.6944444289224015,0.005400000140070915,0.004999999888241291,290.9999694824219,0.002805910538882017,0.05661929026246071,0.1077919453382492,0.09247935563325882,0.003995566628873348,0.7363079786300659
radial,0.75,0.6249999730951257,0.005400000140070915,0.0044999998062849045,291.0,0.01377071999013424,0.06656339019536972,0.10012178122997284,0.08589732646942139,0.003711253870278597,0.7299355268478394
radial,0.75,0.5555555819430286,0.005400000140070915,0.004000000189989805,291.0,0.04825524985790253,0.09797569364309311,0.0759156122803688,0.06512981653213501,0.002813993953168392,0.7099096775054932
radial,0.75,0.4861111261157526,0.005400000140070915,0.0035000001080334187,291.0,0.10326946526765823,0.14810939133167267,0.037286195904016495,0.03198870271444321,0.001382102258503437,0.6779641509056091
radial,0.75,0.4166666702884767,0.005400000140070915,0.003000000026077032,291.0,0.1416618824005127,0.18309645354747772,0.010327771306037903,0.008860437199473381,0.00038282357854768634,0.6556706428527832
radial,0.75,0.3472222144612008,0.005400000140070915,0.0024999999441206455,291.0,0.1522533893585205,0.1927485316991806,0.0028906045481562614,0.0024799176026135683,0.00010714717791415751,0.6495203971862793
radial,0.75,0.2777777909715143,0.005400000140070915,0.0020000000949949026,291.0,0.15482322871685028,0.1950904279947281,0.0010861170012503862,0.0009318053489550948,4.0259525121655315e-05,0.6480282545089722
radial,0.75,0.20833333514423835,0.005400000140070915,0.001500000013038516,291.0,0.15574270486831665,0.19592835009098053,0.0004404775390867144,0.0003778961254283786,1.6327356206602417e-05,0.6474942564964294
radial,0.75,0.13888889548575714,0.005400000140070915,0.0010000000474974513,291.0,0.1561037003993988,0.1962573230266571,0.0001869917759904638,0.00016042470815591514,6.931298230483662e-06,0.6472846269607544
radial,0.75,0.06944444774287857,0.005400000140070915,0.0005000000237487257,291.0,0.15623940527439117,0.19638101756572723,9.169548138743266e-05,7.866777013987303e-05,3.3989128951361636e-06,0.6472058296203613
