inlet,U[m/s],I[%],D_h[mm],T[K],note
inlet-jet,49.6,8.79,7.2,294.0,TUD 实测剖面 + I 面积加权
inlet-pilot,11.4,10.92,10.5,1880.0,均匀(体均), 实测平台 15.2 m/s 见灵敏度对照
inlet-coflow,0.9,1.00,300.0,291.0,均匀, I 文档假定 1%
