profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o
radial,0.75,0.0,0.005400000140070915,0.0,294.5350646972656,0.15632851421833038,0.1964121311903,6.233391468413174e-05,5.172741657588631e-05
radial,0.75,0.062499998926392034,0.005400000140070915,0.00044999999227002263,294.68316650390625,0.15631873905658722,0.1963915228843689,7.695692329434678e-05,6.386389577528462e-05
radial,0.75,0.12499999785278407,0.005400000140070915,0.0008999999845400453,295.23590087890625,0.15628358721733093,0.19631727039813995,0.00012963911285623908,0.00010758428106782958
radial,0.75,0.18750000486357346,0.005400000140070915,0.0013500000350177288,296.6001281738281,0.1562023013830185,0.1961441934108734,0.000252364989137277,0.00020941274124197662
radial,0.75,0.24999999570556813,0.005400000140070915,0.0017999999690800905,299.8393859863281,0.15602421760559082,0.19575990736484528,0.0005246275686658919,0.00043523148633539677
radial,0.75,0.31249998654756284,0.005400000140070915,0.0022499999031424522,307.9703063964844,0.15561585128307343,0.19485925137996674,0.0011618641437962651,0.0009634512243792415
radial,0.75,0.3750000097271469,0.005400000140070915,0.0027000000700354576,333.6653137207031,0.1544409543275833,0.19218288362026215,0.0030516721308231354,0.0025286192540079355
radial,0.75,0.437500032906731,0.005400000140070915,0.003150000236928463,437.39593505859375,0.14991658926010132,0.18152546882629395,0.010561886243522167,0.00874333456158638
radial,0.75,0.49999999141113627,0.005400000140070915,0.003599999938160181,698.482421875,0.13781914114952087,0.15324866771697998,0.030497649684548378,0.02524346113204956
radial,0.75,0.5347222193247743,0.005400000140070915,0.0038499999791383743,946.4107666015625,0.12516044080257416,0.12468568235635757,0.050678353756666183,0.04196160286664963
radial,0.75,0.5752314528864291,0.005400000140070915,0.0041416664607822895,1283.31689453125,0.10574298352003098,0.08467523008584976,0.07911306619644165,0.06557614356279373
radial,0.75,0.6157407511232628,0.005400000140070915,0.004433333408087492,1555.96044921875,0.0864415094256401,0.05336819216609001,0.1017676517367363,0.08453236520290375
radial,0.75,0.6562499846849177,0.005400000140070915,0.004724999889731407,1744.640380859375,0.06900475174188614,0.03453870117664337,0.11597131192684174,0.09661513566970825
radial,0.75,0.6967592829217514,0.005400000140070915,0.00501666683703661,1880.7327880859375,0.05324519798159599,0.02385910414159298,0.1246175765991211,0.10416151583194733
radial,0.75,0.7372685164834063,0.005400000140070915,0.005308333318680525,1978.65087890625,0.039052464067935944,0.018805908039212227,0.12939956784248352,0.10853925347328186
radial,0.75,0.7777777500450611,0.005400000140070915,0.00559999980032444,2041.2017822265625,0.02662966214120388,0.01833411306142807,0.13100381195545197,0.11029421538114548
radial,0.75,0.8182870482818948,0.005400000140070915,0.0058916667476296425,2062.965576171875,0.01651524007320404,0.0223744697868824,0.12944090366363525,0.10941575467586517
radial,0.75,0.8587962818435497,0.005400000140070915,0.006183333229273558,2035.3837890625,0.00942349061369896,0.03116913139820099,0.1244945377111435,0.10570384562015533
radial,0.75,0.8993055800803834,0.005400000140070915,0.00647500017657876,1967.5595703125,0.005418963264673948,0.043139297515153885,0.11720260977745056,0.09999173879623413
radial,0.75,0.9398148136420382,0.005400000140070915,0.006766666658222675,1890.2125244140625,0.0034669567830860615,0.05482383444905281,0.10994026064872742,0.09422922134399414
radial,0.75,0.9803240472036931,0.005400000140070915,0.0070583331398665905,1821.3079833984375,0.002447707811370492,0.06464528292417526,0.10384655743837357,0.08937424421310425
radial,0.75,1.0208333454405267,0.005400000140070915,0.007350000087171793,1756.657958984375,0.0018087374046444893,0.07354641705751419,0.09835989773273468,0.08499544113874435
radial,0.75,1.0613425790021818,0.005400000140070915,0.007641666568815708,1688.5406494140625,0.0013366014463827014,0.08266212046146393,0.09277153015136719,0.0805310606956482
radial,0.75,1.1018518772390153,0.005400000140070915,0.00793333351612091,1612.2275390625,0.0009676060872152448,0.09259703010320663,0.08670487999916077,0.07568101584911346
radial,0.75,1.1423611754758491,0.005400000140070915,0.008225000463426113,1523.948486328125,0.0006792696076445282,0.10377449542284012,0.0799000933766365,0.07023771107196808
radial,0.75,1.1828703443623252,0.005400000140070915,0.008516666479408741,1420.4764404296875,0.00045912558562122285,0.1164955422282219,0.07217331230640411,0.0640542060136795
radial,0.75,1.2233796425991588,0.005400000140070915,0.008808333426713943,1302.5989990234375,0.0002994419483002275,0.13051378726959229,0.06367217749357224,0.057248957455158234
radial,0.75,1.2638889408359926,0.005400000140070915,0.009100000374019146,1177.4404296875,0.000191504557733424,0.1448426991701126,0.05499160662293434,0.05029868707060814
radial,0.75,1.3124999693698354,0.005400000140070915,0.009449999779462814,1030.5985107421875,0.00011145416647195816,0.16098372638225555,0.04521990939974785,0.04247374087572098
radial,0.75,1.3518518406069941,0.005400000140070915,0.009733333252370358,920.5303344726562,7.273524533957243e-05,0.17262530326843262,0.03817515820264816,0.036831989884376526
radial,0.75,1.391203711844153,0.005400000140070915,0.0100166667252779,821.7570190429688,4.8117522965185344e-05,0.18273580074310303,0.03205830231308937,0.03193311393260956
radial,0.75,1.4305555830813117,0.005400000140070915,0.010300000198185444,735.7037353515625,3.2361087505705655e-05,0.19131271541118622,0.026870019733905792,0.02777777798473835
radial,0.75,1.4699074543184705,0.005400000140070915,0.010583333671092987,662.1752319335938,2.2144495233078487e-05,0.19849775731563568,0.022524099797010422,0.024297023192048073
radial,0.75,1.5092591962052717,0.005400000140070915,0.010866666212677956,599.9833984375,1.5394856745842844e-05,0.20449897646903992,0.018894413486123085,0.02138986624777317
radial,0.75,1.5486110674424305,0.005400000140070915,0.011149999685585499,547.803466796875,1.086216070689261e-05,0.20950284600257874,0.015868041664361954,0.01896589621901512
radial,0.75,1.5879629386795893,0.005400000140070915,0.011433333158493042,504.2860412597656,7.78135745349573e-06,0.21367217600345612,0.013346442021429539,0.016946204006671906
radial,0.75,1.627314809916748,0.005400000140070915,0.011716666631400585,467.662353515625,5.641806637868285e-06,0.21719501912593842,0.011215848848223686,0.015239674597978592
radial,0.75,1.6666666811539068,0.005400000140070915,0.012000000104308128,436.7721862792969,4.135754352319054e-06,0.2201911062002182,0.009403836913406849,0.013788308016955853
radial,0.75,1.746031792006559,0.005400000140070915,0.012571428902447224,389.1490478515625,2.257895857837866e-06,0.22488801181316376,0.0065631871111691,0.011513017117977142
radial,0.75,1.8253967735088534,0.005400000140070915,0.013142856769263744,356.8471984863281,1.301387783314567e-06,0.22816653549671173,0.004580346867442131,0.00992479920387268
radial,0.75,1.9047618843615055,0.005400000140070915,0.01371428556740284,335.38299560546875,8.020347763704194e-07,0.23041534423828125,0.003220283892005682,0.008835408836603165
radial,0.75,1.9841269952141576,0.005400000140070915,0.014285714365541935,321.4218444824219,5.317356794876105e-07,0.231927752494812,0.0023056338541209698,0.008102787658572197
radial,0.75,2.0634921060668097,0.005400000140070915,0.01485714316368103,311.85382080078125,3.6545307580126973e-07,0.2330048382282257,0.0016542512457817793,0.007581039797514677
radial,0.75,2.142857087569104,0.005400000140070915,0.015428571030497551,304.6008605957031,2.437805903809931e-07,0.2338619828224182,0.001135881757363677,0.007165832445025444
radial,0.75,2.2222223277721143,0.005400000140070915,0.01600000075995922,299.0355529785156,1.497299564334753e-07,0.2345619648694992,0.0007125255651772022,0.006826728582382202
radial,0.75,2.301587309274409,0.005400000140070915,0.01657142862677574,295.0008544921875,7.842283622494506e-08,0.23511363565921783,0.00037886580685153604,0.006559469737112522
radial,0.75,2.3809522907767033,0.005400000140070915,0.017142856493592262,292.47662353515625,3.035790996364085e-08,0.23549479246139526,0.00014831428416073322,0.0063747987151145935
radial,0.75,2.460317530979713,0.005400000140070915,0.017714286223053932,291.3506774902344,7.3161361413554005e-09,0.23568031191825867,3.6096138501306996e-05,0.006284912582486868
radial,0.75,2.5396825124820075,0.005400000140070915,0.018285714089870453,291.05413818359375,1.0683435247571538e-09,0.23573116958141327,5.337043603503844e-06,0.006260274443775415
radial,0.75,2.619047493984302,0.005400000140070915,0.018857141956686974,291.0072326660156,1.3047327107607032e-10,0.2357388585805893,6.767626814507821e-07,0.006256541237235069
radial,0.75,2.6984129928880267,0.005400000140070915,0.019428573548793793,291.00128173828125,2.1235305180944408e-11,0.23573973774909973,1.325672798202504e-07,0.006256104912608862
radial,0.75,2.777777715689606,0.005400000140070915,0.019999999552965164,291.0005187988281,6.5871978011111665e-12,0.2357398271560669,6.397065988039685e-08,0.006256049498915672
radial,0.75,2.941176450500886,0.005400000140070915,0.021176470443606377,291.00030517578125,3.181560917497883e-12,0.2357398122549057,5.212785225694461e-08,0.006256038788706064
radial,0.75,3.1045751853121653,0.005400000140070915,0.02235294133424759,291.0003967285156,6.975564223465902e-12,0.23573970794677734,6.899017535033636e-08,0.006256050430238247
