flame,kind,point,x_over_d,r_over_d,F,T_K,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
D,Yave,03,3.0,-0.74,0.5055,1775.0,0.0385,0.703,0.0993,0.0281,0.0317,0.0985,0.00121,0.00137,2.77e-05,0.0304
D,Yave,03,3.0,-0.6,0.7542,983.0,0.132,0.669,0.043,0.0938,0.0177,0.0431,4.05e-05,0.00102,8.78e-06,0.0174
D,Yave,03,3.0,-0.46,0.881,505.0,0.18,0.659,0.0133,0.131,0.00312,0.0119,1.77e-06,0.000281,2.06e-06,0.00422
D,Yave,03,3.0,-0.32,0.9668,326.0,0.194,0.651,0.00259,0.15,0.0,0.00145,0.0,3.8e-05,3.52e-07,0.000621
D,Yave,03,3.0,-0.18,0.9878,293.0,0.196,0.649,0.00063,0.154,4.36e-05,0.0,1.93e-07,2.63e-06,1.54e-07,8.36e-05
D,Yave,03,3.0,-0.04,0.9871,291.0,0.196,0.65,0.000517,0.154,0.0,0.0,1.11e-07,2.2e-06,7.5e-08,4.84e-05
D,Yave,03,3.0,0.1,0.9902,290.0,0.195,0.65,0.00052,0.155,2.36e-05,0.0,1.62e-07,3.23e-06,7.5e-08,3.87e-05
D,Yave,03,3.0,0.24,0.995,298.0,0.195,0.649,0.000798,0.155,0.000138,0.000128,2.32e-07,9.38e-06,1.79e-07,0.00013
D,Yave,03,3.0,0.38,0.9645,377.0,0.185,0.655,0.0057,0.148,0.00153,0.00536,1.18e-06,0.00012,6.73e-07,0.00136
D,Yave,03,3.0,0.51,0.8553,679.0,0.148,0.671,0.027,0.12,0.01,0.0251,1.16e-05,0.000629,3.97e-06,0.00835
D,Yave,03,3.0,0.65,0.5939,1437.0,0.0594,0.701,0.0802,0.0498,0.0319,0.0768,0.00045,0.00143,2.07e-05,0.031
D,Yave,03,3.0,0.79,0.3384,1937.0,0.0324,0.725,0.105,0.00306,0.0157,0.112,0.00293,0.000558,3.03e-05,0.0187
D,Yave,03,3.0,0.93,0.2563,1804.0,0.0636,0.736,0.0894,0.000668,0.00204,0.105,0.00192,8.4e-05,1.66e-05,0.00362
D,Yave,03,3.0,1.07,0.2009,1529.0,0.0976,0.742,0.0718,0.000262,0.000404,0.0872,0.000747,2.74e-05,1.04e-05,0.000853
D,Yave,03,3.0,1.21,0.1539,1270.0,0.128,0.747,0.0568,0.000181,6.71e-05,0.067,0.000321,1.39e-05,6.98e-06,0.000459
D,Yave,03,3.0,1.35,0.1369,1170.0,0.14,0.748,0.0511,4.62e-05,0.0,0.0606,0.000177,4.77e-06,6.1e-06,0.000326
D,Yave,03,3.0,1.49,0.1003,960.0,0.165,0.751,0.0392,0.00014,0.0,0.0439,9.26e-05,9.67e-06,4.07e-06,0.000179
D,Yave,03,3.0,1.62,0.0538,686.0,0.197,0.755,0.0244,2.51e-05,0.0,0.0232,2.97e-05,1.33e-05,2.37e-06,9.94e-05
D,Yave,03,3.0,1.9,0.0,302.0,0.23,0.764,0.00628,1.3e-05,0.0,0.0,0.0,5.11e-06,1.44e-07,2.17e-05
D,Yave,03,3.0,2.18,0.0,294.0,0.231,0.763,0.00601,0.0,0.0,0.0,0.0,4.51e-06,9e-08,1.13e-05
D,Yave,075,0.75,-2.78,0.0,291.0,0.23,0.764,0.00602,0.0,0.0,0.0,5.1e-08,3.36e-06,1.59e-07,2.75e-05
D,Yave,075,0.75,-2.78,0.0,290.0,0.23,0.764,0.00593,0.0,0.0,0.0,2.56e-08,4.93e-06,8.92e-08,1.18e-05
D,Yave,075,0.75,-0.28,0.927,425.0,0.185,0.655,0.00872,0.14,0.00207,0.00745,7.48e-07,0.000206,1.6e-06,0.00304
D,Yave,075,0.75,-0.14,0.9671,335.0,0.192,0.651,0.00317,0.15,0.0004,0.00217,0.0,6.08e-05,5.58e-07,0.000996
D,Yave,075,0.75,0.0,0.986,307.0,0.194,0.65,0.00144,0.154,1.4e-05,0.000631,0.0,1.83e-05,2.45e-07,0.000429
D,Yave,075,0.75,0.14,0.9864,312.0,0.193,0.65,0.00165,0.153,0.000252,0.00107,9.95e-09,3.07e-05,2.58e-07,0.0005
D,Yave,075,0.75,0.28,0.9673,380.0,0.185,0.654,0.00606,0.148,0.00197,0.00542,1.02e-06,0.000143,8.68e-07,0.00183
D,Yave,075,0.75,0.42,0.9145,516.0,0.169,0.661,0.0154,0.135,0.00578,0.0141,7.33e-06,0.000408,2.91e-06,0.00542
D,Yave,075,0.75,0.56,0.8395,751.0,0.142,0.67,0.0323,0.114,0.0141,0.0287,7.42e-06,0.000861,6.89e-06,0.0124
D,Yave,075,0.75,0.69,0.7122,1134.0,0.0949,0.686,0.0611,0.0784,0.0251,0.0531,0.000123,0.00146,1.57e-05,0.0248
D,Yave,075,0.75,0.83,0.5563,1525.0,0.0535,0.701,0.0886,0.0401,0.0326,0.0795,0.000717,0.00164,2.82e-05,0.0347
D,Yave,075,0.75,0.97,0.3775,1759.0,0.0464,0.717,0.1,0.0102,0.0237,0.0959,0.00195,0.000981,3.46e-05,0.0271
D,Yave,075,0.75,1.11,0.2436,1628.0,0.0847,0.733,0.0839,0.00149,0.00747,0.0848,0.00178,0.000278,2.41e-05,0.00961
D,Yave,075,0.75,1.25,0.1497,1268.0,0.136,0.744,0.0573,0.000197,0.00151,0.0595,0.000614,5.98e-05,1.27e-05,0.00208
D,Yave,075,0.75,1.39,0.0953,959.0,0.169,0.751,0.0389,5.89e-05,0.000345,0.0397,0.000129,2.11e-05,5.93e-06,0.00047
D,Yave,075,0.75,1.53,0.0585,717.0,0.193,0.756,0.0266,0.0,0.0,0.0249,1.9e-05,1.3e-05,3.03e-06,0.000131
D,Yave,075,0.75,1.67,0.0374,565.0,0.206,0.759,0.0192,2.28e-05,0.0,0.0155,3.97e-06,1.72e-05,1.86e-06,9.45e-05
D,Yave,075,0.75,1.94,0.0121,387.0,0.222,0.763,0.0106,0.0,0.0,0.00486,3.46e-07,8.16e-06,5.33e-07,5.86e-05
D,Yave,075,0.75,2.22,0.0,295.0,0.229,0.764,0.0063,0.0,0.0,0.0,1.41e-08,4.73e-06,1.06e-07,2.77e-05
D,Yave,15,15.0,-0.56,0.7658,907.0,0.129,0.674,0.0441,0.0955,0.0197,0.0378,4.85e-05,0.00125,9.95e-06,0.0185
D,Yave,15,15.0,-0.28,0.8545,620.0,0.161,0.665,0.0232,0.121,0.0095,0.02,8.06e-06,0.000658,4.26e-06,0.00924
D,Yave,15,15.0,0.0,0.9082,498.0,0.174,0.66,0.0138,0.135,0.00504,0.0118,1.26e-06,0.000381,2.26e-06,0.00516
D,Yave,15,15.0,0.28,0.8852,592.0,0.163,0.664,0.02,0.128,0.00845,0.0172,6.67e-06,0.000577,3.43e-06,0.00784
D,Yave,15,15.0,0.28,0.8829,598.0,0.163,0.664,0.0204,0.127,0.00849,0.0174,6.78e-06,0.000572,3.55e-06,0.00754
D,Yave,15,15.0,0.56,0.7804,919.0,0.126,0.677,0.0439,0.0985,0.0193,0.0364,7.6e-05,0.00119,9.75e-06,0.0176
D,Yave,15,15.0,0.83,0.621,1346.0,0.0788,0.694,0.075,0.0576,0.0294,0.063,0.000466,0.00168,2.13e-05,0.0293
D,Yave,15,15.0,1.11,0.4138,1633.0,0.0577,0.716,0.0921,0.0186,0.028,0.084,0.00128,0.00135,3.27e-05,0.0289
D,Yave,15,15.0,1.39,0.2547,1516.0,0.0876,0.734,0.0784,0.00349,0.014,0.0797,0.00141,0.000549,3.04e-05,0.0144
D,Yave,15,15.0,1.67,0.1497,1174.0,0.136,0.747,0.0541,0.00037,0.00414,0.0572,0.000783,0.000138,2.01e-05,0.00477
D,Yave,15,15.0,1.94,0.0873,864.0,0.172,0.755,0.0351,7.31e-06,0.000934,0.0366,0.000246,3.44e-05,1.16e-05,0.00113
D,Yave,15,15.0,2.22,0.0471,619.0,0.198,0.76,0.0219,0.0,0.0002,0.0202,3.87e-05,2.12e-05,5.53e-06,0.000437
D,Yave,15,15.0,2.5,0.026,478.0,0.212,0.762,0.015,0.0,0.0,0.0114,1.12e-05,1.04e-05,2.89e-06,0.000191
D,Yave,15,15.0,2.78,0.0081,353.0,0.223,0.764,0.00887,0.0,0.0,0.00357,6.19e-07,9.96e-06,8.32e-07,5.23e-05
D,Yave,15,15.0,3.06,0.0007,301.0,0.228,0.765,0.00643,0.0,0.0,0.000327,1.25e-08,6.06e-06,1.6e-07,4.04e-05
D,Yave,30,30.0,-0.83,0.5451,1588.0,0.0472,0.702,0.0967,0.0339,0.0389,0.0793,0.000493,0.00247,3.3e-05,0.0382
D,Yave,30,30.0,-0.42,0.6287,1415.0,0.0662,0.693,0.0838,0.0532,0.037,0.0657,0.000272,0.00238,2.6e-05,0.0355
D,Yave,30,30.0,0.0,0.6569,1339.0,0.0739,0.69,0.0785,0.0602,0.0353,0.0607,0.000148,0.00234,2.22e-05,0.0339
D,Yave,30,30.0,0.42,0.6328,1406.0,0.0665,0.693,0.0833,0.0539,0.0365,0.0653,0.000224,0.00242,2.42e-05,0.0358
D,Yave,30,30.0,0.83,0.552,1586.0,0.0491,0.701,0.0956,0.0357,0.0392,0.0768,0.00057,0.00243,3.25e-05,0.0385
D,Yave,30,30.0,1.25,0.4514,1714.0,0.0421,0.712,0.101,0.0186,0.0345,0.0885,0.00106,0.00197,3.97e-05,0.0347
D,Yave,30,30.0,1.67,0.3297,1716.0,0.0563,0.726,0.0951,0.00575,0.023,0.0917,0.00143,0.00109,4.53e-05,0.0226
D,Yave,30,30.0,2.08,0.2408,1591.0,0.0811,0.737,0.082,0.000465,0.0107,0.0868,0.00138,0.000423,4.36e-05,0.011
D,Yave,30,30.0,2.5,0.1796,1363.0,0.114,0.744,0.0646,0.000166,0.00404,0.0718,0.000892,0.000136,3.38e-05,0.0042
D,Yave,30,30.0,2.92,0.1278,1097.0,0.146,0.75,0.048,9.06e-06,0.00152,0.0535,0.000472,5.76e-05,2.38e-05,0.00203
D,Yave,30,30.0,3.33,0.0907,889.0,0.17,0.754,0.0358,0.000112,0.000204,0.039,0.000202,3.01e-05,1.6e-05,0.000567
D,Yave,30,30.0,3.75,0.0645,737.0,0.186,0.758,0.0274,9.89e-06,0.000117,0.0284,6.65e-05,1.77e-05,1.11e-05,0.000194
D,Yave,30,30.0,4.17,0.0446,604.0,0.199,0.76,0.0207,9.06e-06,0.000121,0.0198,2.21e-05,1.6e-05,7.27e-06,0.000128
D,Yave,30,30.0,5.0,0.0151,406.0,0.218,0.764,0.011,0.0,0.0,0.00694,2.03e-06,8.81e-06,2.4e-06,4.41e-05
D,Yave,30,30.0,5.83,0.0004,302.0,0.228,0.766,0.00616,0.0,0.0,0.000406,0.0,5.22e-06,3.28e-07,7.68e-06
D,Yave,45,45.0,-1.11,0.3321,1888.0,0.0325,0.729,0.107,0.0008,0.0256,0.104,0.00153,0.00113,5.9e-05,0.0241
D,Yave,45,45.0,-0.56,0.3715,1936.0,0.021,0.723,0.113,0.0021,0.0338,0.106,0.0015,0.0016,6.15e-05,0.0314
D,Yave,45,45.0,0.0,0.3868,1938.0,0.0183,0.722,0.115,0.00289,0.0358,0.104,0.00132,0.00184,6.01e-05,0.035
D,Yave,45,45.0,0.56,0.3732,1933.0,0.0209,0.724,0.113,0.00223,0.0337,0.104,0.00139,0.00166,6.03e-05,0.0325
D,Yave,45,45.0,1.11,0.339,1891.0,0.0325,0.727,0.106,0.00134,0.0253,0.105,0.00148,0.00115,6.16e-05,0.025
D,Yave,45,45.0,1.67,0.297,1804.0,0.0487,0.731,0.0982,0.000262,0.018,0.101,0.00146,0.000743,5.84e-05,0.018
D,Yave,45,45.0,2.22,0.2487,1644.0,0.0745,0.736,0.085,0.000244,0.0105,0.0919,0.00121,0.000414,5.13e-05,0.0106
D,Yave,45,45.0,2.78,0.1977,1457.0,0.102,0.743,0.0706,0.000197,0.00441,0.0795,0.00082,0.00016,4.19e-05,0.00416
D,Yave,45,45.0,3.33,0.1489,1223.0,0.131,0.749,0.0551,0.000143,0.00129,0.0628,0.000455,6.23e-05,3.13e-05,0.0015
D,Yave,45,45.0,3.89,0.1161,1040.0,0.153,0.752,0.0445,7.57e-05,0.000328,0.0501,0.000266,2.6e-05,2.35e-05,0.000649
D,Yave,45,45.0,4.44,0.0886,886.0,0.17,0.755,0.0354,0.0,0.000316,0.039,0.000138,1.34e-05,1.74e-05,0.000336
D,Yave,45,45.0,5.56,0.0496,637.0,0.195,0.76,0.0222,1.17e-05,2.5e-05,0.0223,3.01e-05,1.31e-05,8.64e-06,0.00011
D,Yave,45,45.0,6.67,0.0222,455.0,0.213,0.764,0.0133,0.0,0.0,0.0102,2.77e-06,1.43e-05,3.55e-06,3.27e-05
D,Yave,45,45.0,7.78,0.0051,335.0,0.224,0.766,0.00762,0.0,0.0,0.0026,2.01e-07,6.86e-06,8.62e-07,1.45e-05
D,Yave,60,60.0,-1.39,0.1956,1500.0,0.0982,0.744,0.0721,0.0,0.000443,0.0844,0.000535,2.11e-05,4.35e-05,0.000801
D,Yave,60,60.0,-0.69,0.2138,1578.0,0.0881,0.742,0.0771,0.000378,0.000801,0.0908,0.000669,2.46e-05,4.8e-05,0.000984
D,Yave,60,60.0,0.0,0.2197,1605.0,0.0834,0.742,0.0794,0.000213,0.000995,0.0933,0.000733,3.8e-05,4.93e-05,0.00131
D,Yave,60,60.0,0.69,0.2143,1573.0,0.0882,0.741,0.0773,0.000279,0.000846,0.0913,0.000681,2.89e-05,4.77e-05,0.00118
D,Yave,60,60.0,1.39,0.1966,1499.0,0.0981,0.744,0.0718,6.47e-05,0.000258,0.0847,0.000554,1.4e-05,4.48e-05,0.000889
D,Yave,60,60.0,2.08,0.1855,1442.0,0.106,0.745,0.0683,7.14e-05,0.000611,0.08,0.000475,1.75e-05,4.14e-05,0.000641
D,Yave,60,60.0,2.78,0.1609,1309.0,0.122,0.747,0.0598,0.000182,0.000147,0.0694,0.0003,1.71e-05,3.49e-05,0.000361
D,Yave,60,60.0,3.47,0.1326,1157.0,0.14,0.75,0.0506,0.0,9.91e-05,0.0581,0.000182,1.79e-05,2.76e-05,0.000237
D,Yave,60,60.0,4.17,0.1123,1035.0,0.154,0.753,0.0432,3.42e-05,0.0,0.0497,9.84e-05,1.39e-05,2.21e-05,0.000142
D,Yave,60,60.0,5.56,0.071,778.0,0.182,0.757,0.0296,3.04e-06,0.0,0.0316,2.44e-05,1.73e-05,1.28e-05,4.72e-05
D,Yave,60,60.0,6.94,0.0396,576.0,0.202,0.761,0.0192,0.0,0.0,0.0179,4.86e-06,1.13e-05,6.53e-06,4.28e-05
D,Yave,60,60.0,8.33,0.0222,452.0,0.213,0.764,0.0133,1.73e-06,0.0,0.01,1.57e-06,1.26e-05,3.47e-06,1.03e-05
D,Yave,60,60.0,9.72,0.008,357.0,0.222,0.765,0.00883,0.0,0.0,0.00384,2.82e-07,6.98e-06,1.3e-06,3.27e-05
D,Yave,75,75.0,-1.39,0.1339,1152.0,0.141,0.749,0.051,1.51e-05,0.000281,0.0588,5.24e-05,5.84e-06,2.82e-05,0.000109
D,Yave,75,75.0,-0.69,0.1374,1175.0,0.137,0.75,0.0523,0.0,0.000152,0.0608,5.48e-05,9.83e-06,2.97e-05,1.22e-05
D,Yave,75,75.0,0.0,0.1393,1188.0,0.136,0.749,0.0529,0.0,0.000311,0.0616,6.32e-05,8.47e-06,3.03e-05,8.94e-05
D,Yave,75,75.0,0.69,0.1354,1164.0,0.14,0.749,0.0513,0.0,0.000397,0.0599,5.69e-05,1.25e-05,2.92e-05,0.000124
D,Yave,75,75.0,1.39,0.133,1152.0,0.141,0.75,0.0506,0.0,0.000135,0.0587,5.07e-05,1.02e-05,2.86e-05,5.1e-05
D,Yave,75,75.0,2.78,0.1134,1036.0,0.154,0.752,0.0438,2.2e-05,0.000255,0.0503,2.96e-05,1.28e-05,2.39e-05,5.23e-06
