metric,fine,medium,coarse,eps21,eps32,r21,r32,p,phi_ext,gci_fine_pct,AR,AR_ideal,note
"T@x/d=15,r/d=0",1562.1227264404297,1569.2120819091797,1584.5306091308594,7.08935546875,15.318527221679688,1.4121424650025276,1.4126762061600222,2.237095374283646,1556.03313437244,0.4872850228824624,2.1607785487981266,2.164175759163798,
"CO2@x/d=15,r/d=0",0.0997131587937474,0.1005351468920707,0.1027282858267426,0.0008219880983233036,0.0021931389346718927,1.4121424650025276,1.4126762061600222,2.848623003600387,0.09922173972993048,0.6160408888878173,2.6680908630495637,2.672682561272339,
"T@x/d=15,r/d=1",1986.5223300415698,2016.2408613292885,2015.725945439415,29.718531287718633,-0.514915889873464,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=15,r/d=1",0.13482247723245785,0.138617736705573,0.1373587863410394,0.0037952594731151534,-0.0012589503645336064,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=15,r/d=1.5",2112.8439755775134,2189.831639513805,2173.2174288264205,76.98766393629148,-16.614210687384457,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=15,r/d=1.5",0.12869936267027163,0.13682530928539033,0.13366758993471756,0.008125946615118701,-0.003157719350672772,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=15,r/d=2",1799.3553425823882,1949.0146414289247,1910.428171793079,149.65929884653656,-38.58646963584579,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=15,r/d=2",0.09630874255216632,0.10929585569779954,0.10519914217328527,0.012987113145633222,-0.004096713524514267,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=15,r/d=3",687.1309426773328,829.6849186919172,841.3697887755927,142.55397601458446,11.684870083675492,1.4121424650025276,1.4126762061600222,7.2568925454854645,674.4440966284064,2.3079382074349017,0.08196804052999568,12.236360515831265,
"CO2@x/d=15,r/d=3",0.025179290764288154,0.03526223622816507,0.03517372278579387,0.010082945463876919,-8.851344237120057e-05,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
intT@x/d=15,5590.047100503787,5889.223691170055,5922.156498495282,299.17659066626766,32.93280732522726,1.4121424650025276,1.4126762061600222,6.401710643581916,5553.153492354816,0.8249842864840482,0.11007815568686623,9.109171362644677,
Tmax@x/d=15,2112.869735717773,2193.9956970214844,2174.3965911865234,81.12596130371139,-19.599105834960938,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=0",2069.2418518066406,2171.637939453125,2154.6607971191406,102.39608764648438,-16.977142333984375,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=0",0.1295562069863081,0.1434728559106588,0.1373147526755929,0.01391664892435071,-0.006158103235065909,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=1",2075.4357632803662,2208.842452438998,2171.752202957073,133.4066891586317,-37.09024948192473,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=1",0.12481706904490251,0.14049236368326035,0.13372243488932067,0.01567529463835783,-0.006769928793939672,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=1.5",2030.4241420704725,2212.0686878710244,2152.256536023305,181.6445458005519,-59.81215184771918,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=1.5",0.11527786990808142,0.13338907741564068,0.12623948448956196,0.018111207507559263,-0.007149592926078724,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=2",1855.67752762313,2092.845494300057,2018.8568438373222,237.1679666769271,-73.98865046273477,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=2",0.0992922074163514,0.11974104924767005,0.11263272515291145,0.020448841831318648,-0.007108324094758603,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=30,r/d=3",1267.6404149607959,1565.3068148937282,1503.5296355877638,297.66639993293234,-61.77717930596441,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=30,r/d=3",0.059866413984206376,0.08153799284112312,0.07619628245906868,0.021671578856916743,-0.005341710382054443,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
intT@x/d=30,6996.182183828079,7916.63103685655,7744.591440411017,920.4488530284707,-172.03959644553288,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
Tmax@x/d=30,2076.5879669189453,2219.2404174804688,2172.6841735839844,142.65245056152344,-46.556243896484375,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=45,r/d=0",1511.007480621338,1848.5277557373047,1626.689884185791,337.5202751159668,-221.83787155151367,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=45,r/d=0",0.0736826711799949,0.0972431572154164,0.0820203181938268,0.023560486035421505,-0.015222839021589607,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=45,r/d=1",1479.3885774605953,1813.828823039705,1597.6988641091757,334.4402455791096,-216.12995893052926,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=45,r/d=1",0.07167355555221545,0.09489372864863431,0.08007783407158799,0.023220173096418856,-0.014815894577046324,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=45,r/d=1.5",1438.6321751992496,1768.807876174928,1560.2676825880492,330.1757009756784,-208.5401935868788,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=45,r/d=1.5",0.06910180253204103,0.0918677348802549,0.07758548631750618,0.022765932348213877,-0.01428224856274872,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=45,r/d=2",1380.546163807324,1704.8492536954914,1507.2004592178625,324.3030898881673,-197.64879447762883,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=45,r/d=2",0.06548211240310454,0.08761089562922506,0.07408374007374127,0.02212878322612051,-0.013527155555483783,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=45,r/d=3",1175.970085868945,1493.7988402183569,1332.070498711617,317.82875434941184,-161.72834150673998,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=45,r/d=3",0.05282312247949347,0.07387181139832066,0.06272292116263038,0.02104868891882719,-0.011148890235690281,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
intT@x/d=45,5709.540574098783,7096.486152113223,6342.292986073476,1386.9455780144408,-754.1931660397477,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
Tmax@x/d=45,1511.007480621338,1848.5277557373047,1626.689884185791,337.5202751159668,-221.83787155151367,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=60,r/d=0",1050.8516807556152,1234.6676330566406,1034.8903007507324,183.8159523010254,-199.7773323059082,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=0",0.0419541289447806,0.0529629064258188,0.0418039885698817,0.0110087774810382,-0.011158917855937103,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=60,r/d=1",1041.038010707651,1223.4673420599293,1025.869281280603,182.42933135227827,-197.59806077932626,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=1",0.041414145195010424,0.05231795229547679,0.041289493008709356,0.010903807100466366,-0.011028459286767434,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=60,r/d=1.5",1028.602063583167,1209.2690558359295,1014.3138293924246,180.6669922527626,-194.9552264435049,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=1.5",0.04073145985918436,0.05150079112486092,0.04063127587500916,0.010769331265676557,-0.01086951524985176,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=60,r/d=2",1011.1009761274883,1189.286735096454,997.8787561917243,178.18575896896584,-191.40797890472982,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=2",0.03977289507566255,0.050354478189888446,0.039696893915940674,0.010581583114225898,-0.010657584273947772,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"T@x/d=60,r/d=3",952.1844462147651,1129.7561412941297,949.1411166478426,177.57169507936464,-180.6150246462871,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
"CO2@x/d=60,r/d=3",0.03650542526999862,0.04698645078199288,0.03693627138261293,0.010481025511994257,-0.010050179399379952,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
intT@x/d=60,4380.259673615556,5147.455674879329,4354.220755273307,767.1960012637737,-793.2349196060222,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
Tmax@x/d=60,1050.8516807556152,1234.6676330566406,1034.8903007507324,183.8159523010254,-199.7773323059082,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
T_cl@x/d=30,2069.2418489120805,2171.6379038961177,2154.660785071848,102.39605498403716,-16.977118824269837,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
T_cl@x/d=45,1511.0075092142906,1848.527692983063,1626.6898849794954,337.5201837687723,-221.8378080035675,1.4121424650025276,1.4126762061600222,,,,,,非单调/零差，不在渐近区
