metric,fine,medium,coarse,eps21,eps32,r21,r32,p,phi_ext,gci_fine_pct,AR,AR_ideal,note
Tmax@x/d=15,2193.673828125,2193.673828125,2192.261474609375,0.0,-1.412353515625,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
CO2max@x/d=15,0.1406472325325012,0.1406472325325012,0.1406460702419281,0.0,-1.1622905730923616e-06,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
Tmax@x/d=30,2228.066162109375,2228.066162109375,2223.264404296875,0.0,-4.8017578125,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
CO2max@x/d=30,0.1441312581300735,0.1441312581300735,0.1440186351537704,0.0,-0.00011262297630310059,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
Tmax@x/d=45,1829.071533203125,1829.071533203125,1902.841552734375,0.0,73.77001953125,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
CO2max@x/d=45,0.095829352736473,0.095829352736473,0.1024236902594566,0.0,0.0065943375229836065,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
Tmax@x/d=60,1273.9002685546875,1273.9002685546875,1386.4266357421875,0.0,112.5263671875,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
CO2max@x/d=60,0.0551776327192783,0.0551776327192783,0.0634248107671737,0.0,0.008247178047895397,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
T_cl_peak,2296.991455078125,2296.991455078125,2289.373779296875,0.0,-7.61767578125,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
x/d_cl_peak,34.72222222222222,34.72222222222222,35.75837860504786,0.0,1.036156382825638,1.4067609897088031,1.480373860824349,,,,,,非单调/零差，不在渐近区
