profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,2.210271130833361,0.005400000140070915,0.0159139521420002,296.81988525390625,3.109705621804314e-14,0.2352006733417511,0.0003479286388028413,0.006536972243338823,1.6315815400957945e-06
radial,0.75,2.2390192478067346,0.005400000140070915,0.01612093858420849,295.4007568359375,2.2542729876252714e-14,0.23533253371715546,0.00026303547201678157,0.006468403618782759,1.2073169273207895e-06
radial,0.75,2.2679091327720218,0.005400000140070915,0.016328945755958557,294.1639099121094,1.5463474142655975e-14,0.23544740676879883,0.0001890670828288421,0.006408665794879198,8.477786650473718e-07
radial,0.75,2.2969415618313684,0.005400000140070915,0.016537979245185852,293.1144104003906,9.800892871803316e-15,0.2355448454618454,0.00012632348807528615,0.006357999984174967,5.520673767023254e-07
radial,0.75,2.3261173110869198,0.005400000140070915,0.01674804463982582,292.2701416015625,5.5436320105532646e-15,0.23562318086624146,7.586587162222713e-05,0.006317261140793562,3.222852171802515e-07
radial,0.75,2.355437156640821,0.005400000140070915,0.01695914752781391,291.6584777832031,2.686622490232979e-15,0.23567992448806763,3.93205409636721e-05,0.006287759635597467,1.6198733021610678e-07
radial,0.75,2.384901615894503,0.005400000140070915,0.017171291634440422,291.2852478027344,1.082607315324943e-15,0.23571452498435974,1.7029067748808302e-05,0.006269766949117184,6.796382479024032e-08
radial,0.75,2.4145117236508264,0.005400000140070915,0.01738448441028595,291.10345458984375,3.6462163752984823e-16,0.2357313632965088,6.175043836265104e-06,0.006261007394641638,2.38884076964041e-08
radial,0.75,2.444267997311221,0.005400000140070915,0.017598729580640793,291.03338623046875,1.02752316134333e-16,0.2357378602027893,1.9851859178743325e-06,0.006257626228034496,7.058218010058681e-09
radial,0.75,2.474170954277118,0.005400000140070915,0.01781403087079525,291.0103454589844,2.314771969128797e-17,0.23574000597000122,6.08697803272662e-07,0.006256515625864267,1.7083073844403884e-09
radial,0.75,2.5042216293513775,0.005400000140070915,0.018030395731329918,291.003173828125,5.01764161339002e-18,0.23574066162109375,1.8391851597243658e-07,0.006256172899156809,3.8532163570970113e-10
radial,0.75,2.534420798636145,0.005400000140070915,0.018247829750180244,291.0010070800781,0.0,0.23574085533618927,5.65456232948236e-08,0.006256070453673601,0.0
radial,0.75,2.564768979532851,0.005400000140070915,0.018466336652636528,291.00030517578125,0.0,0.23574091494083405,1.6760305143748155e-08,0.006256038323044777,0.0
radial,0.75,2.595266948143641,0.005400000140070915,0.018685922026634216,291.0000915527344,0.0,0.23574094474315643,4.952653398504481e-09,0.006256029009819031,0.0
radial,0.75,2.6259154805706606,0.005400000140070915,0.018906591460108757,291.0000305175781,0.0,0.23574094474315643,1.4597754116607575e-09,0.006256026215851307,0.0
radial,0.75,2.656715352916055,0.005400000140070915,0.019128350540995598,291.0,0.0,0.23574094474315643,4.2973666292134283e-10,0.006256025284528732,0.0
radial,0.75,2.6876670825812554,0.005400000140070915,0.019351202994585037,291.0,0.0,0.23574094474315643,1.204835398116444e-10,0.006256024818867445,0.0
radial,0.75,2.718771704369121,0.005400000140070915,0.019575156271457672,291.0,0.0,0.23574094474315643,2.2694167725600956e-11,0.006256024818867445,0.0
radial,0.75,2.7500299943817987,0.005400000140070915,0.01980021595954895,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.781442470020718,0.005400000140070915,0.02002638578414917,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.8130101660887403,0.005400000140070915,0.020253673195838928,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.844733599987295,0.005400000140070915,0.020482081919908524,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.876613547818528,0.005400000140070915,0.020711617544293404,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.9086510443853006,0.005400000140070915,0.020942287519574165,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.9408466070890427,0.005400000140070915,0.021174095571041107,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,2.9732010120318995,0.005400000140070915,0.021407047286629677,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,3.005715294016732,0.005400000140070915,0.02164115011692047,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
radial,0.75,3.0383899704449706,0.005400000140070915,0.02187640778720379,291.0,0.0,0.23574094474315643,0.0,0.006256024818867445,0.0
