quantity,unit,x1,x2,x3,x15,x30,x45,x60,x75,mean
温度 T,K,94.75125259940963,91.55343320255783,196.77649995069567,622.5427169632711,459.0524195856904,236.69332491529227,255.54697535747098,104.65704867029399,257.69670890558524
混合分数 F,—,0.1258639911421429,0.17717413478576832,0.1773873840087357,0.1573830183402471,0.07614211193535676,0.11215874310346881,0.06507639602756829,0.03174501895571227,0.11536634978737502
O2,—,0.016831909727796152,0.015027051402525082,0.030524675558128163,0.09004503383864856,0.04088114581120578,0.056574584430909854,0.048120357309765355,0.026348658292560702,0.040544177046442455
H2O,—,0.008003364586998114,0.0072295201946778655,0.014869062455457556,0.048981418877983025,0.025088340408265346,0.02589800273136059,0.020068282187277103,0.009377563635746565,0.01993944438472077
CH4,—,0.02016356864739101,0.02892406049961165,0.02588737688970261,0.017854359939020015,0.010834162389025483,0.0012116251270546843,0.00014297827767067062,1.4260303102060693e-05,0.013129049009072271
CO2,—,0.009954031990975332,0.008090509325440783,0.016804213749282506,0.053982656720186054,0.039615938605709805,0.018893171018212578,0.027976407310132456,0.01518599309400283,0.023812865226742794
CO,—,0.0035202454053084495,0.006176671178156937,0.0056555529363229795,0.011640300285213009,0.017727596230158855,0.018568301873567953,0.0005160320769485323,0.00024399432257881106,0.008006086788531942
