profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co
radial,0.75,1.7313483274645276,0.005400000140070915,0.012465707957744598,402.0920715332031,2.667826720426092e-06,0.22354233264923096,0.007662824355065823,0.012099669314920902,3.2512059988221154e-05
radial,0.75,1.7448658278832834,0.005400000140070915,0.01256303396075964,394.84100341796875,2.4231485440395772e-06,0.2242605984210968,0.007212433964014053,0.011755379848182201,2.991444489452988e-05
radial,0.75,1.7585137134624853,0.005400000140070915,0.012661298736929893,387.9681091308594,2.20155880015227e-06,0.22494502365589142,0.006783145945519209,0.011427332647144794,2.7530393708730116e-05
radial,0.75,1.7722935364064243,0.005400000140070915,0.012760513462126255,381.4625549316406,2.000983158723102e-06,0.22559650242328644,0.0063744233921170235,0.011115099303424358,2.534328268666286e-05
radial,0.75,1.786206460868319,0.005400000140070915,0.012860686518251896,375.3142395019531,1.8195545408161706e-06,0.22621577978134155,0.005985802970826626,0.010818311013281345,2.333789598196745e-05
radial,0.75,1.8002537803517449,0.005400000140070915,0.012961827218532562,369.51422119140625,1.6555883348701173e-06,0.22680352628231049,0.005616890266537666,0.01053665205836296,2.1500307411770336e-05
radial,0.75,1.8144367883602779,0.005400000140070915,0.013063944876194,364.05413818359375,1.5075645478646038e-06,0.2273602932691574,0.005267356988042593,0.010269859805703163,1.981775312742684e-05
radial,0.75,1.8287567783974938,0.005400000140070915,0.013167048804461956,358.92645263671875,1.3741092743657646e-06,0.22788652777671814,0.0049369363114237785,0.010017717257142067,1.8278553397976793e-05
radial,0.75,1.843215043966969,0.005400000140070915,0.013271148316562176,354.1242980957031,1.2539788940557628e-06,0.22838255763053894,0.004625413566827774,0.009780049324035645,1.6872003470780328e-05
radial,0.75,1.8578131372729938,0.005400000140070915,0.013376254588365555,349.6412048339844,1.1460455198175623e-06,0.22884869575500488,0.004332615528255701,0.00955671351402998,1.5588295354973525e-05
radial,0.75,1.8725520931184292,0.005400000140070915,0.01348237507045269,345.4709167480469,1.0492815363249974e-06,0.22928522527217865,0.004058393649756908,0.009347586892545223,1.4418426871998236e-05
radial,0.75,1.8874334637075663,0.005400000140070915,0.013589520938694477,341.6070556640625,9.627450481275446e-07,0.22969235479831696,0.0038025968242436647,0.009152542799711227,1.3354071597859729e-05
radial,0.75,1.9024584131936233,0.005400000140070915,0.013697700574994087,338.0424499511719,8.855623150338943e-07,0.23007041215896606,0.0035650318022817373,0.00897142942994833,1.2387462447804864e-05
radial,0.75,1.9176287524816062,0.005400000140070915,0.013806927017867565,334.7685852050781,8.169072884811612e-07,0.23041991889476776,0.0033454049844294786,0.008804013952612877,1.1511197953950614e-05
radial,0.75,1.932945516374376,0.005400000140070915,0.013917207717895508,331.7743835449219,7.559781352028949e-07,0.23074159026145935,0.003143243258818984,0.008649928495287895,1.0718004887166899e-05
radial,0.75,1.9484102570762238,0.005400000140070915,0.01402855385094881,329.04498291015625,7.019723398116184e-07,0.23103663325309753,0.0029578020330518484,0.008508601225912571,1.0000469046644866e-05
radial,0.75,1.964024268090725,0.005400000140070915,0.01414097473025322,326.56072998046875,6.540658432641067e-07,0.23130683600902557,0.0027879762928932905,0.008379184640944004,9.350776053906884e-06
radial,0.75,1.979789360322886,0.005400000140070915,0.01425448339432478,324.2964172363281,6.114013899605197e-07,0.23155461251735687,0.0026322430931031704,0.008260514587163925,8.760535820329096e-06
radial,0.75,1.9957065685755677,0.005400000140070915,0.014369087293744087,322.2214660644531,5.730922794100479e-07,0.23178303241729736,0.0024886613246053457,0.00815111305564642,8.220765266742092e-06
radial,0.75,2.011777445053061,0.005400000140070915,0.014484797604382038,320.30096435546875,5.382407266552036e-07,0.23199576139450073,0.0023549343459308147,0.008049224503338337,7.7220402090461e-06
radial,0.75,2.0280036713100142,0.005400000140070915,0.014601626433432102,318.4974365234375,5.059653176431311e-07,0.2321968525648117,0.0022285240702331066,0.00795291643589735,7.254785941768205e-06
radial,0.75,2.0443866702003612,0.005400000140070915,0.0147195840254426,316.77301025390625,4.754352289637609e-07,0.23239044845104218,0.0021068097557872534,0.007860190235078335,6.8096801442152355e-06
radial,0.75,2.0609278645780353,0.005400000140070915,0.014838680624961853,315.093017578125,4.4591769210455823e-07,0.2325805425643921,0.0019873075652867556,0.007769156247377396,6.378262241923949e-06
radial,0.75,2.0776288066473274,0.005400000140070915,0.014958927407860756,313.43060302734375,4.168529983417102e-07,0.23277026414871216,0.0018680241191759706,0.007678293623030186,5.953936124569736e-06
radial,0.75,2.094490919262171,0.005400000140070915,0.01508033461868763,311.7723693847656,3.8794431134192564e-07,0.23296134173870087,0.0017478824593126774,0.00758678512647748,5.533206149266334e-06
radial,0.75,2.1115162720282874,0.005400000140070915,0.015202917158603668,310.12139892578125,3.5919924812333193e-07,0.23315361142158508,0.0016269796760752797,0.007494702003896236,5.11631242261501e-06
radial,0.75,2.1287058997485375,0.005400000140070915,0.015326682478189468,308.4934997558594,3.3085945005950634e-07,0.2333453893661499,0.0015063757309690118,0.0074028512462973595,4.706422259914689e-06
radial,0.75,2.146061354627212,0.005400000140070915,0.015451641753315926,306.9085693359375,3.032417055237602e-07,0.23353442549705505,0.001387487631291151,0.007312313187867403,4.307658855395857e-06
